Date,Time,Location,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,What_is_effected,Please_specify_the_effected_facility,Severity_of_the_Flood,__version__,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
2016-12-19,10:02:00.000+01,32.300395 36.3166 646.7 2.9,32.300395,36.3166,646.7,2.9,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:d77d4d12-3307-409b-88f3-06f40c049b14,5441224,d77d4d12-3307-409b-88f3-06f40c049b14,2016-12-19T09:48:32,103,,-1,,
2016-12-19,10:09:00.000+01,32.29665833333333 36.31908333333333 654.3 4.2,32.29665833,36.31908333,654.3,4.2,facilities,Saudi old hospital ,high,vyPzAbtFf6gYYzo5DK6HuU,uuid:8fe50ef4-df33-41b9-bfb7-d3da2c2d5c69,5441225,8fe50ef4-df33-41b9-bfb7-d3da2c2d5c69,2016-12-19T09:48:32,104,,-1,,
2016-12-19,10:24:00.000+01,32.29671333333333 36.31834166666667 658.6 1.9,32.29671333,36.31834167,658.6,1.9,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:8fad269e-d3d5-4feb-954a-b1c88f38b58b,5441226,8fad269e-d3d5-4feb-954a-b1c88f38b58b,2016-12-19T09:48:33,105,,-1,,
2016-12-19,10:33:00.000+01,32.30299166666667 36.32203166666667 668.3 2.7,32.30299167,36.32203167,668.3,2.7,roads,,low,vyPzAbtFf6gYYzo5DK6HuU,uuid:3d860a5d-0291-48e6-84eb-5698d72fb574,5441227,3d860a5d-0291-48e6-84eb-5698d72fb574,2016-12-19T09:48:33,106,,-1,,
2016-12-19,10:35:00.000+01,32.301885 36.32617833333334 661.6 3.0,32.301885,36.32617833,661.6,3,shelters,,moderate,vyPzAbtFf6gYYzo5DK6HuU,uuid:22893146-645c-4ece-85ff-94d332158b54,5441228,22893146-645c-4ece-85ff-94d332158b54,2016-12-19T09:48:33,107,,-1,,
2016-12-19,10:37:00.000+01,32.29931166666667 36.32468166666667 662.6 2.3,32.29931167,36.32468167,662.6,2.3,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:2b78d10b-fe84-4d95-bd24-b98922afb54d,5441229,2b78d10b-fe84-4d95-bd24-b98922afb54d,2016-12-19T09:48:34,108,,-1,,
2016-12-19,10:38:00.000+01,32.299141666666664 36.32507 665.0 2.2,32.29914167,36.32507,665,2.2,shelters,,moderate,vyPzAbtFf6gYYzo5DK6HuU,uuid:13401577-d78a-40f0-a720-79fa5e943dd4,5441230,13401577-d78a-40f0-a720-79fa5e943dd4,2016-12-19T09:48:34,109,,-1,,
2016-12-19,10:44:00.000+01,32.295674999999996 36.321794999999995 658.3 2.2,32.295675,36.321795,658.3,2.2,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:43348e9a-6d18-4336-91d8-bbd213bbd9ec,5441231,43348e9a-6d18-4336-91d8-bbd213bbd9ec,2016-12-19T09:48:34,110,,-1,,
2016-12-19,10:50:00.000+01,32.29783666666666 36.322480000000006 669.4 2.4,32.29783667,36.32248,669.4,2.4,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:2d4ecd9e-6c22-44b0-84c5-6842644167e1,5441232,2d4ecd9e-6c22-44b0-84c5-6842644167e1,2016-12-19T09:48:35,111,,-1,,
2016-12-19,10:53:00.000+01,32.29954 36.322070000000004 660.4 3.0,32.29954,36.32207,660.4,3,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:ec03ac10-57de-4a59-a607-e55cec3a398b,5441233,ec03ac10-57de-4a59-a607-e55cec3a398b,2016-12-19T09:48:35,112,,-1,,
2016-12-19,10:55:00.000+01,32.30066166666666 36.32253166666667 665.6 3.2,32.30066167,36.32253167,665.6,3.2,facilities,American school,high,vyPzAbtFf6gYYzo5DK6HuU,uuid:d9873d38-2c96-43f9-94a1-524506bc9584,5441234,d9873d38-2c96-43f9-94a1-524506bc9584,2016-12-19T09:48:35,113,,-1,,
2016-12-19,11:02:00.000+01,32.29410166666666 36.32904833333334 662.5 3.2,32.29410167,36.32904833,662.5,3.2,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:a0cf27d7-e66f-4438-a9b8-16a0e0bbfef2,5441236,a0cf27d7-e66f-4438-a9b8-16a0e0bbfef2,2016-12-19T09:48:36,114,,-1,,
2016-12-19,11:07:00.000+01,32.29233166666667 36.32799166666667 667.7 2.9,32.29233167,36.32799167,667.7,2.9,facilities,Saudi school ,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:09fcccdb-adc2-43db-8f28-0dd540a0bb08,5441238,09fcccdb-adc2-43db-8f28-0dd540a0bb08,2016-12-19T09:48:36,115,,-1,,
2016-12-19,11:08:00.000+01,32.292901666666666 36.326185 659.0 2.9,32.29290167,36.326185,659,2.9,facilities,Mashfa alwiladeh,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:552cda26-9565-437a-a319-07b69200872f,5441240,552cda26-9565-437a-a319-07b69200872f,2016-12-19T09:48:37,116,,-1,,
2016-12-19,11:14:00.000+01,32.290823333333336 36.320928333333335 659.1 2.6,32.29082333,36.32092833,659.1,2.6,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:c2cf76be-fefa-472c-aec0-3766184ba273,5441241,c2cf76be-fefa-472c-aec0-3766184ba273,2016-12-19T09:48:37,117,,-1,,
2016-12-19,11:15:00.000+01,32.29002 36.31986333333334 655.8 3.6,32.29002,36.31986333,655.8,3.6,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:812bfdae-87bc-4380-a549-caea422e693a,5441242,812bfdae-87bc-4380-a549-caea422e693a,2016-12-19T09:48:37,118,,-1,,
2016-12-19,11:17:00.000+01,32.28884 36.31713666666667 658.9 3.2,32.28884,36.31713667,658.9,3.2,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:7045f288-d18e-4d48-a93b-97d70f314350,5441243,7045f288-d18e-4d48-a93b-97d70f314350,2016-12-19T09:48:38,119,,-1,,
2016-12-19,11:18:00.000+01,32.287711666666674 36.32054666666667 663.7 3.9,32.28771167,36.32054667,663.7,3.9,shelters,,very_high,vyPzAbtFf6gYYzo5DK6HuU,uuid:43743278-4ccc-4186-9149-63a1b57f98ad,5441244,43743278-4ccc-4186-9149-63a1b57f98ad,2016-12-19T09:48:38,120,,-1,,
