longitude,latitude,septic_id,septic_capacity,steel_id,steel_capacity,houses
36.3212992715,32.3025627037,D1-B3-T18,4,,,"D1-B3-H53,D1-B3-H54,D1-B3-H55,D1-B3-H56,D1-B3-H66,D1-B3-H128,D1-B3-H129,D1-B3-H130,D1-B3-H131,D1-B4-H1,D1-B4-H2"
36.3172260869,32.3032864472,D1-B4-T1,4,,,"D1-B3-H91,D1-B3-H92,D1-B3-H93,D1-B3-H94,D1-B3-H95,D1-B4-H38,D1-B4-H39,D1-B4-H41,D1-B4-H42"
36.3175769393,32.3031907643,D1-B4-T2,8,,,"D1-B3-H87,D1-B3-H96,D1-B3-H97,D1-B4-H35,D1-B4-H36,D1-B4-H43,D1-B4-H44,D1-B4-H46"
36.3186254727,32.3029700479,D1-B4-T3,8,,,"D1-B4-H23,D1-B4-H24,D1-B4-H25,D1-B4-H26,D1-B4-H27,D1-B4-H28,D1-B4-H29,D1-B4-H58,D1-B4-H60,D1-B4-H62"
36.3186017481,32.3027777901,D1-B4-T4,4,,,"D1-B4-H21,D1-B4-H57,D1-B4-H59,D1-B4-H61,D1-B4-H63,D1-B4-H64,D1-B4-H65,D1-B4-H66"
36.319224837,32.3026331,D1-B4-T5,4,,,"D1-B4-H19,D1-B4-H21,D1-B4-H65,D1-B4-H67,D1-B4-H68,D1-B4-H69,D1-B4-H71,D1-B4-H72,D1-B4-H73,D1-B4-H76,D1-B5-H36,D1-B5-H37,D1-B5-H41"
36.3197368719,32.3027462074,D1-B4-T6,8,,,"D1-B3-H67,D1-B3-H68,D1-B3-H69,D1-B3-H115,D1-B3-H116,D1-B4-H14,D1-B4-H15,D1-B4-H16,D1-B4-H17,D1-B4-H74,D1-B4-H75,D1-B4-H76-1,D1-B4-H76-2,D1-B4-H78,D1-B4-H79"
36.3202543482,32.3023401846,D1-B4-T7,4,,,"D1-B4-H8,D1-B4-H9,D1-B4-H10,D1-B4-H86,D1-B4-H88,D1-B4-H89,D1-B4-H90,D1-B4-H91"
36.3207572392,32.3024016365,D1-B4-T8,8,,,"D1-B4-H3,D1-B4-H4,D1-B4-H5,D1-B4-H6,D1-B4-H7,D1-B4-H92,D1-B4-H93,D1-B4-H94,D1-B4-H95,D1-B4-H96"
36.3211369456,32.3021689667,D1-B4-T9,8,,,"D1-B4-H97,D1-B4-H98,D1-B4-H99,D1-B4-H100,D1-B4-H101,D1-B5-H1,D1-B5-H2,D1-B5-H3,D1-B5-H4,D1-B5-H180,D1-B5-H184,D1-B5-H185"
36.3170145217,32.303100811,D1-B5-T1,4,,,"D1-B4-H40,D1-B5-H75,D1-B5-H76,D1-B5-H77,D1-B5-H81,D1-B5-H82"
36.3167324444,32.3028597568,D1-B5-T2,4,,,"D1-B5-H78,D1-B5-H79,D1-B5-H80,D1-B5-H83,D1-B5-H84,D1-B5-H85,D1-B5-H86-1"
36.3167139112,32.3027149563,D1-B5-T3,8,,,"D1-B5-H86,D1-B5-H87,D1-B5-H88,D1-B5-H89,D1-B5-H90,D1-B5-H91-1,D1-B5-H91,D1-B5-H93"
