LONGITUDE,LATITUDE,ELEVATION
36.3229183284,32.3006796008,654.917
36.3229672181,32.300614255,655.022
36.322976517,32.3006399971,655.092
36.323020947,32.3006247978,655.262
36.3230876362,32.3006635207,655.275
36.3231050264,32.3006979374,655.297
36.3230243085,32.3007281918,655.36
36.3230687386,32.3007129925,655.3
36.3231121323,32.3008425146,655.277
36.3232625662,32.300760246,655.371
36.3232085487,32.3006639733,655.441
36.3231909699,32.3006271778,655.337
36.3231490662,32.3005757469,655.305
36.3233609463,32.3004978391,655.52
36.3234091423,32.3004970694,655.488
36.3234482807,32.3004832873,655.624
36.3234400085,32.3006284246,655.542
36.3234424315,32.3005888369,655.574
36.3234859918,32.3005763141,655.692
36.3235391086,32.3006035704,655.604
36.323542337,32.3005595393,655.68
36.3236387642,32.3005262869,655.784
36.3236211116,32.3004886716,655.791
36.3237175272,32.3005279332,655.716
36.3237322494,32.3004921048,655.734
36.3237041234,32.3004265127,655.818
36.3236317907,32.300403782,655.797
36.3238687313,32.3003364805,655.997
36.32386484,32.3003714915,655.951
36.3239524625,32.3003458371,656.089
36.3240038292,32.3003291873,656.055
36.324004388,32.3003202286,656.088
36.3240154515,32.3003357478,655.949
36.3240314945,32.3003287797,656.027
36.3240201819,32.300312866,656.144
36.3241361087,32.3002714153,656.376
36.3240886078,32.3002872735,656.203
36.3240339388,32.300402381,655.924
36.3239788713,32.3004194333,656.085
36.324070139,32.3004424107,656.009
36.3241326119,32.3003704699,656.069
36.3241765664,32.3003554818,656.21
36.3242069339,32.3003053942,656.35
36.3242244341,32.3003409639,656.241
36.3242849902,32.3003704892,656.214
36.324327646,32.3003042786,656.332
36.3243059018,32.3002689719,656.423
36.324254618,32.300207715,656.523
36.3244088318,32.3001575569,656.653
36.3244504257,32.3002277903,656.618
36.3244606543,32.3002220369,656.86
36.3244773453,32.3002591377,656.565
36.3244805648,32.3003033551,656.432
36.3245803367,32.3002243927,656.694
36.3246277535,32.3002094819,656.748
36.3246711776,32.3001936868,656.739
36.3246281155,32.3001068213,656.775
36.3245900228,32.3001218568,656.786
36.3246737853,32.3000793654,656.818
36.3247436586,32.300066167,656.833
36.3247652029,32.3000627568,656.821
36.3247667431,32.3000817958,656.758
36.3247519247,32.3000864538,656.777
36.324751938,32.3002239434,656.669
36.3249062991,32.300169374,656.728
36.32485371,32.300015841,656.904
36.325038159,32.3000059268,656.913
36.325029913,32.2999898597,656.996
36.3250115302,32.299996506,656.901
36.3250191481,32.3000133,656.773
36.3252013005,32.2999824236,657.129
36.3251083739,32.3000740034,656.865
36.325053293,32.2999613301,656.979
36.3248560599,32.2996181569,657.198
36.3248409173,32.299725944,657.143
36.3248775207,32.2998341376,657.05
36.3245732959,32.299918647,656.988
36.3244613951,32.2997063087,656.98
36.3243985351,32.2996301234,657.003
36.3241361954,32.2996928271,656.831
36.3242350711,32.2998303327,656.695
36.3243121885,32.2999978591,656.773
36.3239476233,32.3001067428,656.311
36.3238920176,32.299981486,656.456
36.3238329357,32.2997859012,656.508
36.3235314186,32.3000191359,656.059
36.3235317508,32.3002095158,655.817
36.3232805381,32.3002766727,655.491
36.3232002038,32.3002551398,655.475
36.3231410171,32.3002774219,655.331
36.322949191,32.3004250688,654.953
36.3229253446,32.3003612059,655.048
36.3229247013,32.3003676136,655.079
36.322731916,32.3004371823,654.654
36.3227430747,32.3004881462,654.546
36.3225698828,32.300743109,654.43
36.3225652124,32.3007440971,654.327
36.3225567475,32.300743045,654.467
36.3225180838,32.3007470752,654.418
36.322510661,32.3007470057,654.272
36.3225010626,32.3007478932,654.299
36.3224055957,32.300756493,654.117
36.3223049869,32.300567605,654.151
36.322116139,32.3006215116,653.856
36.321899723,32.3006837771,653.744
36.3219168775,32.3007267171,653.739
36.3220593287,32.3006912642,653.539
36.3220995864,32.3008439698,653.675
36.3219856885,32.3008960046,653.701
36.322080938,32.3011240827,653.721
36.3221414537,32.3010162098,653.675
36.3223597126,32.3009760099,653.955
36.3225662936,32.3009178072,654.414
36.3225835361,32.3009687533,654.498
36.3225787698,32.3009524118,654.471
36.3225993943,32.3009475764,654.495
36.322609181,32.3009628906,654.443
36.3226373033,32.3010662909,654.543
36.3226482026,32.3010632548,654.52
36.3226530285,32.3010610931,654.676
36.3226883876,32.3010516729,654.718
36.3226997939,32.3010475504,654.656
36.3228605409,32.3010398419,654.785
36.3227433314,32.3010305557,654.732
36.3228490716,32.3011313478,654.764
36.3227319277,32.3011222323,654.731
36.3227199262,32.3012534353,654.87
36.3227084752,32.3012634193,654.638
36.3227126742,32.301300144,654.724
36.3227152667,32.3013097962,654.732
36.3226873058,32.3013242093,654.739
36.3226851878,32.3013177449,654.65
36.3227944153,32.3013280938,654.932
36.3227916227,32.3013332762,654.937
36.3228118282,32.3013522491,655.012
36.3228173306,32.3013472411,655.003
36.3228565521,32.3013445223,655.03
36.3228559493,32.3013499017,655.15
36.3228733943,32.3013775372,655.137
36.3228662925,32.3013880507,655.083
36.3228364834,32.3014162491,654.903
36.3228284004,32.3014151666,655.038
36.3228320989,32.3014707861,655.081
36.3228523281,32.3014700659,654.969
36.3228327362,32.3014759922,654.812
36.3227866093,32.3014836143,654.861
36.322792702,32.3014825775,654.846
36.3228008088,32.3014786825,655.053
36.322764322,32.3013962666,654.977
36.3227420615,32.3013898003,654.614
36.3227238794,32.3013756424,654.744
36.3227151014,32.3013655221,654.626
36.3226814841,32.3013663428,654.765
36.3226815925,32.3013751694,654.618
36.3224668773,32.3014394406,654.23
36.3224575842,32.301433193,654.141
36.322448967,32.3014275165,654.271
36.3222930043,32.301472999,653.965
36.3222922736,32.3014792091,653.836
36.3222852874,32.301483581,653.811
36.3220893525,32.3015519684,653.688
36.3220803923,32.301539965,653.621
36.3220786525,32.3015349039,653.75
36.322071164,32.3015078564,653.786
36.3220675925,32.3014988891,653.625
36.322065065,32.3014979918,653.678
36.3222198853,32.3013723865,653.855
36.3221884054,32.3013812582,653.779
36.3222101773,32.3014335709,653.78
36.322241249,32.3014260463,653.872
36.3222153652,32.3014522531,653.757
36.322218619,32.3014595551,653.88
36.3223826781,32.3014127837,654.125
36.3223819365,32.3014042693,654.023
36.3223814896,32.3013989984,654.048
36.3222991151,32.3011887953,653.896
36.3219515036,32.3012824019,653.611
36.3214249571,32.3013172223,653.452
36.3215339852,32.3013909809,653.295
36.3217147312,32.3013438103,653.527
36.3217103907,32.3014582642,653.502
36.3217252572,32.3015206829,653.5
36.3217581911,32.3015126189,653.486
36.3217783805,32.3015683811,653.493
36.3217440315,32.3015770707,653.497
36.32176012,32.3015746471,653.581
36.3217643996,32.3015885404,653.516
36.3217776455,32.3015699205,653.542
36.3217810405,32.301583542,653.525
36.3217851231,32.3015969501,653.514
36.3217895977,32.3016068291,653.478
36.3217950186,32.3016159513,653.569
36.3218059693,32.3016413271,653.61
36.3218060925,32.301648774,653.54
36.321806973,32.3016530402,653.556
36.3215360348,32.3015970531,653.493
36.3215758525,32.3016836147,653.407
36.3215757838,32.3016892689,653.54
36.3215895684,32.3017171625,653.545
36.3215937391,32.3017239063,653.443
36.3211642868,32.3009407188,653.391
36.3211404622,32.3008949974,653.519
36.3208609652,32.3004220435,653.237
36.3208459144,32.3004250891,653.306
36.3208718875,32.3004018303,653.203
36.3209865927,32.3003593473,653.289
36.32099925,32.3003845278,653.309
36.321001957,32.3003888139,653.298
36.3212525312,32.3004019177,653.397
36.3212605623,32.3003381603,653.347
36.3212599474,32.3003330351,653.279
36.3212600575,32.3003290306,653.42
36.3212548343,32.300305714,653.405
36.3212561192,32.3002996613,653.32
36.3212556112,32.3002971952,653.357
36.3211932369,32.3000811788,653.251
36.3214481054,32.3000280602,653.339
36.3215583123,32.3002240325,653.36
36.3215674207,32.3002334106,653.301
36.3215792711,32.3002455958,653.53
36.3215838978,32.3002514339,653.511
36.3216238503,32.3002988249,653.512
36.321785767,32.3001762231,653.531
36.3217878154,32.3001571162,653.646
36.3217925187,32.3001501496,653.572
36.3217365921,32.2999889804,653.444
36.3219183423,32.2999468682,653.533
36.3219466156,32.3000064181,653.637
36.3219882981,32.3001013398,653.613
36.3219862198,32.3001136843,653.676
36.3219880694,32.3001311608,653.752
36.321988562,32.3001366928,653.645
36.32198719,32.3001988224,653.673
36.3222105084,32.3000423952,653.818
36.3222154586,32.3000451827,654.002
36.3222350692,32.3000373357,654.012
36.3222375321,32.3000243206,653.957
36.3222431118,32.3000230268,653.854
36.3222529297,32.3000287829,653.977
36.3222750289,32.3000982699,654.095
36.3222666015,32.3000985338,653.939
36.3222547628,32.3000847165,653.961
36.3222518864,32.3000778801,654.037
36.3222245951,32.3000784734,654.032
36.3222279818,32.3000879562,653.938
36.3222353332,32.3001332642,654.002
36.3222621972,32.300197344,654.013
36.3223034217,32.3001926239,653.94
36.322308968,32.3001911952,654.135
36.3223460751,32.3001875304,654.162
36.3223549495,32.3001890839,654.003
36.3223658044,32.30019282,654.146
36.3224334431,32.300366049,654.242
36.3224317147,32.3003939175,654.137
36.3224226207,32.3003986958,654.159
36.3223950569,32.3004082453,654.223
36.3223869772,32.3004100211,654.025
36.3223782885,32.3004132178,654.183
36.3223549318,32.3004220989,654.158
36.3223770781,32.3004763739,654.295
36.3223963872,32.3005200972,654.195
36.3224032141,32.3005382239,654.281
36.3224232989,32.300532681,654.241
36.3224350688,32.3005296463,654.104
36.322439619,32.3005275141,654.291
36.3224760956,32.300514856,654.349
36.3224866485,32.3005138789,654.259
36.322494402,32.3005114839,654.253
36.3225559445,32.3004985768,654.43
36.3224835747,32.3003646674,654.366
36.3224295053,32.3002692784,654.229
36.3223723268,32.3001800845,654.162
36.3223340412,32.30009378,654.123
36.3223169181,32.3000871509,654.134
36.3223333473,32.3000493509,654.098
36.3223453441,32.3000431853,654.201
36.3223285397,32.2999829208,654.144
36.3222833923,32.2999941588,654.031
36.3223204729,32.3000168958,654.147
36.3223378453,32.3000161559,654.209
36.3223265223,32.3000088803,654.279
36.3223248922,32.3000084259,653.87
36.3223142045,32.3000105222,653.839
36.3223153992,32.3000127028,654.237
36.3223213215,32.3000081779,653.808
36.3223403643,32.3000535627,653.749
36.3223338476,32.3000529171,654.118
36.3223346107,32.3000545334,653.805
36.322345739,32.3000502691,653.882
36.3223455505,32.3000478903,654.158
36.3225090562,32.3000038198,654.303
36.3225098185,32.2999975913,654.521
36.3225074564,32.2999729691,654.527
36.3225069239,32.2999607288,654.384
36.3225045572,32.299958216,654.449
36.3225254757,32.2999219902,654.559
36.3225783338,32.2999040114,654.665
36.3224812678,32.3000461026,654.453
36.3225339235,32.3000297847,654.434
36.3225719446,32.3001178858,654.423
36.3225185873,32.3001341378,654.514
36.3226290922,32.300200218,654.634
36.3227555452,32.3001573228,654.919
36.3227654965,32.3001583708,654.893
36.3228104817,32.3001434372,654.957
36.3228126245,32.3001424083,654.947
36.3228141274,32.300140285,654.928
36.322788376,32.3000942023,654.892
36.3227261512,32.2999650272,654.806
36.3227193695,32.2999600919,654.847
36.3227176014,32.2999553196,654.702
36.322714784,32.2999446415,654.878
36.3227101259,32.2999206797,654.874
36.3227058096,32.2999150463,654.683
36.3227116968,32.2999050666,654.804
36.3230040645,32.2998077094,655.456
36.3230084437,32.2998210517,655.316
36.3230127271,32.2998283265,655.511
36.3230225272,32.2998507909,655.623
36.323025959,32.2998561616,655.472
36.3230367639,32.2998636131,655.556
36.3231257191,32.2999240137,655.634
36.3230685295,32.2999377121,655.544
36.3231345094,32.3000942291,655.552
36.3231495796,32.3001221652,655.57
36.3231573623,32.3001394357,655.459
36.323179563,32.3001324132,655.498
36.323173077,32.3001152484,655.43
36.3232180429,32.3001039306,655.52
36.3232563608,32.3002334254,655.468
36.3232021383,32.3002518495,655.451
36.3232435421,32.2999029704,655.915
36.3232167766,32.2998279344,655.959
36.3232060509,32.2997984089,655.962
36.3232020974,32.2997963791,656.037
36.3231865796,32.2997933697,655.896
36.3231838726,32.2997873703,655.966
36.3231739285,32.2997644203,655.984
36.323172741,32.2997576411,655.802
36.3231701194,32.2997533993,655.928
36.3231555954,32.2997180555,655.939
36.3231975871,32.2997032023,655.995
36.3231684985,32.2996188274,656.028
