OBJECTID,LINETYPE,NAME,AR_NAME
145,unpaved,Nisan Street,شارع نيسان
146,unpaved,Al Tareq Street,شارع الطارق
147,paved,Al Salam Street,شارع السلام
148,paved,Azzam Street,شارع عزام
149,unpaved,Al Safa Street,شارع الصفا
150,unpaved,Al Abbasiya Street,شارع العباسية
151,unpaved,Al Muntazah Street,شارع المنتزه
152,unpaved,Al Mashtal Street,شارع المشتل
153,paved,South Road,الشارع الجنوبي
154,paved,Ar'ar Street,شارع عرعر
155,paved,Lotus  Street,شارع اللوتس
157,unpaved,Al Majd Street,شارع المجد
158,paved,Al Kursi Street,شارع الكرسي
159,unpaved,Al Khamic Street,شارع خميس
160,paved,Al Bustan Street,شارع البستان
161,paved,Al Habaq Street,شارع الحبق
162,paved,Al Kina Street,شارع الكينا
163,paved,Al Shabat Street,شارع الشبت
165,paved,Al Nawras Street,شارع النورس
2,paved,Ring Road,الشارع الدائري
4,paved,Dumyanah Street,شارع دميانة
6,paved,Airport Road,شارع المطار
7,paved,West Road,الشارع الغربي
1,paved,East Road,الشارع الشرقي
