X,Y,NAME,COUNT,DISTRICT
36.3255334838445,32.2922930962226,,2,10
36.3280709657681,32.2915142762985,,2,10
36.3272931214828,32.2898985622979,,2,10
36.3248234502652,32.290730313794,,2,10
36.3271583130389,32.2895725362194,,2,10
36.32467540539,32.2904017755992,,2,10
36.3239733696933,32.2888431394714,,2,10
36.3264613625111,32.2880266589471,,2,10
36.3262944140701,32.2876531512555,,2,10
36.3238160403091,32.2885019897983,,2,10
36.3255903640446,32.2861556226093,,2,10
36.3230987006823,32.286940375031,,2,10
36.3310115336669,32.2843757173396,,2,9
36.3309108344855,32.2905465095082,,2,9
36.3347767936855,32.2892830648628,,2,9
36.3302034501714,32.2889866075345,,2,9
36.3300729666401,32.2886483404797,,2,9
36.3333675880837,32.2879537703448,,2,9
36.3332339259626,32.2876139452941,,2,9
36.3300174551438,32.2868646053095,,2,9
36.3325101372254,32.2860634038942,,2,9
36.3299170286952,32.2865331773975,,2,9
36.3323134409397,32.2857524270936,,2,9
36.3285440551965,32.2851949525261,,2,9
36.3247487260809,32.3024562813048,OST-03-14,1,3
36.3261775977454,32.3014188416277,NST-03-16,1,3
36.324444077894,32.3013182897353,OST-03-11,1,3
36.3241118997651,32.3006588696987,OST-03-10,1,3
36.3231571863046,32.3022577031245,NST-03-07,1,3
36.3237025164295,32.2997232284609,OST-03-09,1,3
36.3264614715805,32.2997928644933,OST-03-17,1,3
36.3267033961795,32.2985348371925,OST-03-18,1,3
36.3256328327272,32.297604087427,OST-04-15,1,4
36.3246467185294,32.2980676171414,NST-03-13,1,3
36.3244486064857,32.2955553603781,OST-04-12,1,4
36.323215946493,32.2951047520651,NST-04-08,1,4
36.3220223640789,32.2959942782662,OST-04-04,1,4
36.321318674805,32.2973856176732,NST-04-03,1,4
36.3212374947167,32.297318943593,OST-04-02,1,4
36.3188918949076,32.2956323053457,NST-04-01,1,4
36.3225618010207,32.2994690253534,OST-03-05,1,3
36.3227609875979,32.297802053304,OST-04-06,1,4
36.3164800827397,32.29261555116,OST-12-06,1,12
36.3129548568731,32.2959682419649,OST-12-01,1,12
36.3159166243885,32.294206576782,OST-12-03,1,12
36.3145709676404,32.2939632448001,OST-12-02,1,12
36.3155331885201,32.2913834211403,OST-12-04,1,12
36.3224615170103,32.293291754625,OST-11-09,2,11
36.3199753626219,32.2940641353507,OST-11-03,2,11
36.3179460222016,32.2938018410256,NST-11-01,1,11
36.3200851454779,32.2879123195384,OST-11-14,2,11
36.3207979189207,32.2894714928215,OST-11-13,2,11
36.3209467237706,32.2898120328046,OST-11-12,2,11
36.3176196547263,32.2887146900943,OST-11-08,2,11
36.318426073063,32.2906047596062,OST-11-06,2,11
36.3183518705282,32.2902682786093,OST-11-07,2,11
36.321771539886,32.2916843545882,OST-11-10,2,11
36.3191011049734,32.2921879025581,OST-11-05,2,11
36.3216463027458,32.291413270181,OST-11-11,2,11
36.3192445375566,32.2924954961567,OST-11-04,2,11
36.3160204615002,32.2964555965924,OST-02-02,2,2
36.3172162154319,32.2963398649348,OST-02-03,1,2
36.3146398625902,32.2964243054291,OST-02-01,1,2
36.3181236317146,32.2961487989574,OST-02-04,1,2
36.3172184087993,32.2921868878424,NST-11-02,2,11
36.319576813967,32.2982446696618,,1,2
36.3185702822519,32.2984778358315,,1,2
36.3177503634209,32.2985243487647,,1,2
36.3180437990652,32.2989857996075,,1,2
36.3212926322692,32.3019688311864,,1,1
36.3162799606107,32.2946305270481,,1,12
36.3281928444025,32.3002438974587,NST-05-01,1,5
36.3272862846482,32.2978759194111,NST-05-02,1,5
36.3279138770517,32.2968603009003,OST-05-03,1,5
36.3284112565379,32.2979558729131,OST-05-04,1,5
36.3288908356766,32.2989941825053,OST-05-05,1,5
36.3292926258127,32.2998679840076,OST-05-06,1,5
36.3283849434527,32.2954539178096,OST-05-07,1,5
36.3285040096723,32.2940256897404,NST-05-08,1,5
36.3306757125604,32.3004580020903,NST-05-09,1,5
36.330578816958,32.2983807243974,NST-05-10,1,5
36.3301493591182,32.2961293381026,OST-05-11,1,5
36.3315038539934,32.2991342010262,OST-05-12,1,5
36.3322442449376,32.2999138182269,NST-05-13,1,5
36.3300853465475,32.2939534366704,NST-05-14,1,5
36.3305981251667,32.2947265185597,OST-05-15,1,5
36.3319389797212,32.295635674498,NST-05-16,1,5
36.3331219243986,32.298680184155,NST-05-17,1,5
36.3388197278519,32.2932816167279,OST-07-01,1,7
36.3397884567717,32.2953946302329,OST-07-02,1,7
36.3393238731558,32.294371891083,OST-07-03,1,7
36.338291615973,32.2896712885417,OST-07-04,1,7
36.3387864033971,32.2907720283157,OST-07-05,1,7
36.3392942061559,32.2918639118387,OST-07-06,1,7
36.3404880267559,32.2889469798861,OST-07-07,1,7
36.3410034176161,32.2900422226438,OST-07-08,1,7
36.3414972869203,32.2911328152711,OST-07-09,1,7
36.3420018921198,32.2922311995949,OST-07-10,1,7
36.3425062487086,32.2933256147386,OST-07-11,1,7
36.3429704517452,32.2943418626816,OST-07-12,1,7
36.3415767768774,32.2898576886527,OST-07-13,1,7
36.3417213524947,32.2885380092112,OST-07-14,1,7
36.3427151581189,32.2907289700556,OST-07-15,1,7
36.3432257201828,32.2918297919019,OST-07-16,1,7
36.3436404400761,32.292953234516,OST-07-17,1,7
36.3356545758169,32.2976835477052,,1,6
36.3353041959424,32.2968370630979,,1,6
36.3332728433566,32.2957055841628,,1,6
36.3324582129173,32.2937967729652,,1,6
36.3315120190533,32.2919307389418,,1,6
36.337762768301,32.2960047032187,,1,6
