LONGITUDE,LATITUDE,ID
36.328710,32.264421,265
36.329286,32.264433,266
36.329862,32.264445,267
36.330438,32.264457,268
36.331014,32.264469,269
36.331590,32.264481,270
36.332166,32.264494,271
36.332742,32.264506,272
36.333318,32.264518,273
36.333895,32.264530,274
36.334471,32.264542,275
36.335047,32.264554,276
36.335623,32.264567,277
36.336199,32.264579,278
36.336775,32.264591,279
36.337351,32.264603,280
36.337927,32.264615,281
36.338503,32.264627,282
36.339079,32.264640,283
36.339655,32.264652,284
36.340232,32.264664,285
36.340808,32.264676,286
36.341384,32.264688,287
36.341960,32.264700,288
36.342536,32.264712,289
36.343112,32.264724,290
36.343688,32.264737,291
36.344264,32.264749,292
36.344840,32.264761,293
36.345416,32.264773,294
36.345992,32.264785,295
36.346569,32.264797,296
36.347145,32.264809,297
36.347721,32.264821,298
36.348297,32.264834,299
36.291252,32.264051,300
36.291828,32.264063,301
36.292404,32.264076,302
36.292980,32.264088,303
36.293557,32.264100,304
36.294133,32.264113,305
36.294709,32.264125,306
36.295285,32.264137,307
36.295861,32.264150,308
36.296437,32.264162,309
36.297013,32.264174,310
36.297589,32.264187,311
36.298165,32.264199,312
36.298741,32.264211,313
36.299317,32.264224,314
36.299893,32.264236,315
36.300469,32.264248,316
36.301045,32.264261,317
36.301621,32.264273,318
36.302198,32.264285,319
36.302774,32.264298,320
36.303350,32.264310,321
36.303926,32.264322,322
36.304502,32.264335,323
36.305078,32.264347,324
36.305654,32.264359,325
36.306230,32.264372,326
36.306806,32.264384,327
36.307382,32.264396,328
36.307958,32.264408,329
36.308534,32.264421,330
36.309110,32.264433,331
36.309687,32.264445,332
36.310263,32.264458,333
36.310839,32.264470,334
36.311415,32.264482,335
36.311991,32.264494,336
36.312567,32.264507,337
36.313143,32.264519,338
36.313719,32.264531,339
36.314295,32.264543,340
36.314871,32.264556,341
36.315447,32.264568,342
36.316023,32.264580,343
36.316599,32.264592,344
36.317176,32.264605,345
36.317752,32.264617,346
36.318328,32.264629,347
36.318904,32.264641,348
36.319480,32.264654,349
36.320056,32.264666,350
36.320632,32.264678,351
36.321208,32.264690,352
36.321784,32.264703,353
36.322360,32.264715,354
36.322936,32.264727,355
36.323512,32.264739,356
36.324089,32.264751,357
36.324665,32.264764,358
36.325241,32.264776,359
36.325817,32.264788,360
36.326393,32.264800,361
36.326969,32.264812,362
36.327545,32.264825,363
36.328121,32.264837,364
36.328697,32.264849,365
36.329273,32.264861,366
36.329849,32.264873,367
36.330425,32.264886,368
36.331002,32.264898,369
36.331578,32.264910,370
36.332154,32.264922,371
36.332730,32.264934,372
36.333306,32.264946,373
36.333882,32.264959,374
36.334458,32.264971,375
36.335034,32.264983,376
36.335610,32.264995,377
36.336186,32.265007,378
36.336762,32.265019,379
36.337339,32.265032,380
36.337915,32.265044,381
36.338491,32.265056,382
36.339067,32.265068,383
36.339643,32.265080,384
36.340219,32.265092,385
36.340795,32.265104,386
36.341371,32.265117,387
36.341947,32.265129,388
36.342523,32.265141,389
36.343099,32.265153,390
36.343676,32.265165,391
36.344252,32.265177,392
36.344828,32.265189,393
36.345404,32.265201,394
36.345980,32.265214,395
36.346556,32.265226,396
36.347132,32.265238,397
36.347708,32.265250,398
36.348284,32.265262,399
36.291240,32.264479,400
36.291816,32.264492,401
36.292392,32.264504,402
36.292968,32.264517,403
36.293544,32.264529,404
36.294120,32.264541,405
36.294696,32.264554,406
36.295272,32.264566,407
36.295848,32.264578,408
36.296424,32.264591,409
36.297000,32.264603,410
36.297576,32.264615,411
36.298152,32.264628,412
36.298728,32.264640,413
36.299305,32.264652,414
36.299881,32.264665,415
36.300457,32.264677,416
36.301033,32.264689,417
36.301609,32.264702,418
36.302185,32.264714,419
36.302761,32.264726,420
36.303337,32.264738,421
36.303913,32.264751,422
36.304489,32.264763,423
36.305065,32.264775,424
36.305641,32.264788,425
36.306217,32.264800,426
36.306793,32.264812,427
36.307370,32.264825,428
36.307946,32.264837,429
36.308522,32.264849,430
36.309098,32.264861,431
36.309674,32.264874,432
36.310250,32.264886,433
36.310826,32.264898,434
36.311402,32.264911,435
36.311978,32.264923,436
36.312554,32.264935,437
36.313130,32.264947,438
36.313706,32.264960,439
36.314282,32.264972,440
36.314859,32.264984,441
36.315435,32.264996,442
36.316011,32.265009,443
36.316587,32.265021,444
36.317163,32.265033,445
36.317739,32.265045,446
36.318315,32.265058,447
36.318891,32.265070,448
36.319467,32.265082,449
36.320043,32.265094,450
36.320619,32.265107,451
36.321195,32.265119,452
36.321772,32.265131,453
36.322348,32.265143,454
36.322924,32.265155,455
36.323500,32.265168,456
36.324076,32.265180,457
36.324652,32.265192,458
36.325228,32.265204,459
36.325804,32.265216,460
36.326380,32.265229,461
36.326956,32.265241,462
36.327532,32.265253,463
36.328109,32.265265,464
36.328685,32.265277,465
36.329261,32.265290,466
36.329837,32.265302,467
36.330413,32.265314,468
36.330989,32.265326,469
36.331565,32.265338,470
36.332141,32.265351,471
36.332717,32.265363,472
36.333293,32.265375,473
36.333869,32.265387,474
36.334446,32.265399,475
36.335022,32.265411,476
36.335598,32.265424,477
36.336174,32.265436,478
36.336750,32.265448,479
36.337326,32.265460,480
36.337902,32.265472,481
36.338478,32.265484,482
36.339054,32.265497,483
36.339630,32.265509,484
36.340206,32.265521,485
36.340783,32.265533,486
36.341359,32.265545,487
36.341935,32.265557,488
36.342511,32.265569,489
36.343087,32.265581,490
36.343663,32.265594,491
36.344239,32.265606,492
36.344815,32.265618,493
36.345391,32.265630,494
36.345967,32.265642,495
36.346544,32.265654,496
36.347120,32.265666,497
36.347696,32.265678,498
36.348272,32.265690,499
36.291227,32.264908,500
36.291803,32.264920,501
36.292379,32.264933,502
36.292955,32.264945,503
36.293531,32.264957,504
36.294107,32.264970,505
36.294683,32.264982,506
36.295259,32.264994,507
36.295835,32.265007,508
36.296411,32.265019,509
36.296988,32.265031,510
36.297564,32.265044,511
36.298140,32.265056,512
36.298716,32.265068,513
36.299292,32.265081,514
36.299868,32.265093,515
36.300444,32.265105,516
36.301020,32.265118,517
36.301596,32.265130,518
36.302172,32.265142,519
36.302748,32.265155,520
36.303324,32.265167,521
36.303900,32.265179,522
36.304476,32.265192,523
36.305053,32.265204,524
36.305629,32.265216,525
36.306205,32.265228,526
36.306781,32.265241,527
36.307357,32.265253,528
36.307933,32.265265,529
36.308509,32.265278,530
36.309085,32.265290,531
36.309661,32.265302,532
36.310237,32.265314,533
36.310813,32.265327,534
36.311389,32.265339,535
36.311966,32.265351,536
36.312542,32.265364,537
36.313118,32.265376,538
36.313694,32.265388,539
36.314270,32.265400,540
36.314846,32.265413,541
36.315422,32.265425,542
36.315998,32.265437,543
36.316574,32.265449,544
36.317150,32.265462,545
36.317726,32.265474,546
36.318302,32.265486,547
36.318879,32.265498,548
36.319455,32.265511,549
36.320031,32.265523,550
36.320607,32.265535,551
36.321183,32.265547,552
36.321759,32.265559,553
36.322335,32.265572,554
36.322911,32.265584,555
36.323487,32.265596,556
36.324063,32.265608,557
36.324639,32.265621,558
36.325216,32.265633,559
36.325792,32.265645,560
36.326368,32.265657,561
36.326944,32.265669,562
36.327520,32.265682,563
36.328096,32.265694,564
36.328672,32.265706,565
36.329248,32.265718,566
36.329824,32.265730,567
36.330400,32.265743,568
36.330976,32.265755,569
36.331553,32.265767,570
36.332129,32.265779,571
36.332705,32.265791,572
36.333281,32.265803,573
36.333857,32.265816,574
36.334433,32.265828,575
36.335009,32.265840,576
36.335585,32.265852,577
36.336161,32.265864,578
36.336737,32.265876,579
36.337313,32.265889,580
36.337890,32.265901,581
36.338466,32.265913,582
36.339042,32.265925,583
36.339618,32.265937,584
36.340194,32.265949,585
36.340770,32.265961,586
36.341346,32.265974,587
36.341922,32.265986,588
36.342498,32.265998,589
36.343074,32.266010,590
36.343651,32.266022,591
36.344227,32.266034,592
36.344803,32.266046,593
36.345379,32.266058,594
36.345955,32.266071,595
36.346531,32.266083,596
36.347107,32.266095,597
36.347683,32.266107,598
36.348259,32.266119,599
36.291214,32.265336,600
36.291790,32.265349,601
36.292366,32.265361,602
36.292942,32.265373,603
36.293518,32.265386,604
36.294094,32.265398,605
36.294670,32.265411,606
36.295247,32.265423,607
36.295823,32.265435,608
36.296399,32.265448,609
36.296975,32.265460,610
36.297551,32.265472,611
36.298127,32.265485,612
36.298703,32.265497,613
36.299279,32.265509,614
36.299855,32.265522,615
36.300431,32.265534,616
36.301007,32.265546,617
36.301583,32.265558,618
36.302159,32.265571,619
36.302736,32.265583,620
36.303312,32.265595,621
36.303888,32.265608,622
36.304464,32.265620,623
36.305040,32.265632,624
36.305616,32.265645,625
36.306192,32.265657,626
36.306768,32.265669,627
36.307344,32.265682,628
36.307920,32.265694,629
36.308496,32.265706,630
36.309072,32.265718,631
36.309649,32.265731,632
36.310225,32.265743,633
36.310801,32.265755,634
36.311377,32.265767,635
36.311953,32.265780,636
36.312529,32.265792,637
36.313105,32.265804,638
36.313681,32.265817,639
36.314257,32.265829,640
36.314833,32.265841,641
36.315409,32.265853,642
36.315985,32.265866,643
36.316562,32.265878,644
36.317138,32.265890,645
36.317714,32.265902,646
36.318290,32.265915,647
36.318866,32.265927,648
