LONGITUDE,LATITUDE,VOLUME,STATUS,NAME,DISTRICT,BLOCK,NUMBER,HOUSES
36.3174355924,32.2903906705,4,Connected,D11-B11-T03,11,11,3,"D11-B11-H63,D11-B11-H64,D11-B11-H67,D11-B11-H68,D11-B11-H69,D11-B11-H74"
36.317403924,32.2899001869,4,Connected,D11-B11-T05,11,11,5,"D11-B11-H60,D11-B11-H61,D11-B11-H62,D11-B11-H72,D11-B11-H73,"
36.3173352512,32.2899533101,4,Connected,D11-B11-T04,11,11,4,"D11-B11-H70,D11-B11-H71,D11-B11-H75,D11-B11-H76"
36.3178883679,32.2904038355,4,Connected,D11-B11-T06,11,11,6,"D11-B11-H49,D11-B11-H50,D11-B11-H56,D11-B11-H57,D11-B11-H58,D11-B11-H59,D11-B11-H65,D11-B11-H66"
36.3180530352,32.289572387,4,Connected,D11-B11-T09,11,11,9,"D11-B11-H41,D11-B11-H45,D11-B11-H46,D11-B11-H53"
36.317938577,32.2898044604,4,Connected,D11-B11-T07,11,11,7,"D11-B11-H47,D11-B11-H51,D11-B11-H52,D11-B11-H54,D11-B11-H55"
36.3184042897,32.2901892298,4,Connected,D11-B11-T08,11,11,8,"D11-B11-H42,D11-B11-H44,D11-B11-H45,D11-B11-H48"
36.3188136436,32.2900356866,4,Connected,D11-B11-T10,11,11,10,"D11-B11-H36,D11-B11-H37,D11-B11-H38,D11-B11-H39,D11-B11-H43"
36.3188659536,32.2895882553,4,Connected,D11-B11-T11,11,11,11,"D11-B11-H33,D11-B11-H34,D11-B11-H35,D11-B11-H40"
36.3193226772,32.2898316227,4,Connected,D11-B11-T12,11,11,12,"D11-B11-H21,D11-B11-H25,D11-B11-H26,D11-B11-H27,D11-B11-H28,D11-B11-H29"
36.3193037981,32.2893999087,4,Connected,D11-B11-T13,11,11,13,"D11-B11-H16,D11-B11-H22,D11-B11-H23,D11-B11-H24,D11-B11-H30,D11-B11-H31,D11-B11-H32,"
36.3198142014,32.2897241128,8,Connected,D11-B11-T14,11,11,14,"D11-B11-H7,D11-B11-H8,D11-B11-H9,D11-B11-H12,D11-B11-H17,D11-B11-H18,D11-B11-H19,D11-B11-H20"
36.3199497267,32.2893935744,4,Connected,D11-B11-T15,11,11,15,"D11-B11-H1,D11-B11-H2,D11-B11-H6,D11-B11-H13,D11-B11-H14"
36.3161441274,32.2899286683,2,Connected,D11-B13-T01,11,13,1,"D11-B13-H106,D11-B13-H108,D11-B13-H109"
36.3164042976,32.2897691294,4,Connected,D11-B13-T02,11,13,2,"D11-B13-H101,D11-B13-H102,D11-B13-H103,D11-B13-H104,D11-B13-H105,D11-B13-H107"
36.3165597151,32.2892873847,4,Connected,D11-B13-T03,11,13,3,"D11-B13-H94,D11-B13-H95,D11-B13-H96,D11-B13-H99,D11-B13-H100"
36.3171356973,32.2896424155,4,Connected,D11-B13-T04,11,13,4,"D11-B13-H69,D11-B13-H87,D11-B13-H89,D11-B13-H90,D11-B13-H92,D11-B13-H97,D11-B13-H98"
36.317567276,32.2894019993,4,Connected,D11-B13-T06,11,13,6,"D11-B13-H79,D11-B13-H80,D11-B13-H88,D11-B13-H89"
