longitude,latitude,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
36.322702,32.302002,D03-B03-T10,D3-B3-T10,3,3,10,4,160,,,,,,,,6,"D03-B03-H055,D03-B03-H056,D03-B03-H057,D03-B03-H058,D03-B03-H059,D03-B03-H065"
36.322858,32.301496,D03-B03-T11,D3-B3-T11,3,3,11,2,120,,OST-03-11,OST-3-11,OST,3,11,,1,D03-B03-H048
36.323174,32.301340,D03-B03-T12,D3-B3-T12,3,3,12,8,120,,,,,,,,6,"D03-B03-H042,D03-B03-H043-1,D03-B03-H045,D03-B03-H046,D03-B03-H047,D03-B03-H049"
36.323339,32.301602,D03-B03-T13,D3-B3-T13,3,3,13,8,160,,NST-03-07,NST-3-7,NST,3,7,25,4,"D03-B03-H041,D03-B03-H043,D03-B03-H044,D03-B03-H050"
36.323362,32.301282,D03-B03-T14,D3-B3-T14,3,3,14,2,120,,NST-03-07,NST-3-7,NST,3,7,25,2,"D03-B03-H034,D03-B03-H035"
36.323530,32.301573,D03-B03-T15,D3-B3-T15,3,3,15,4,160,,NST-03-07,NST-3-7,NST,3,7,25,5,"D03-B03-H031,D03-B03-H032,D03-B03-H036,D03-B03-H039,D03-B03-H040"
36.323765,32.301132,D03-B03-T16,D3-B3-T16,3,3,16,2,120,,NST-03-07,NST-3-7,NST,3,7,25,2,"D03-B03-H027,D03-B03-H028"
36.323784,32.301330,D03-B03-T17,D3-B3-T17,3,3,17,2,120,,NST-03-07,NST-3-7,NST,3,7,25,2,"D03-B03-H026,D03-B03-H029"
36.323844,32.301552,D03-B03-T18,D3-B3-T18,3,3,18,4,120,,NST-03-07,NST-3-7,NST,3,7,25,1,D03-B03-H030
36.323909,32.301123,D03-B03-T19,D3-B3-T19,3,3,19,2,120,,NST-03-07,NST-3-7,NST,3,7,25,2,"D03-B03-H023,D03-B03-H024"
36.324108,32.301256,D03-B03-T20,D3-B3-T20,3,3,20,8,160,,NST-03-07,NST-3-7,NST,3,7,25,4,"D03-B03-H020,D03-B03-H021,D03-B03-H022,D03-B03-H025"
36.324232,32.301038,D03-B03-T21,D3-B3-T21,3,3,21,4,120,,,,,,,,3,"D03-B03-H014,D03-B03-H018,D03-B03-H019"
36.324512,32.301281,D03-B03-T22,D3-B3-T22,3,3,22,4,120,,OST-03-11,OST-3-11,OST,3,11,,3,"D03-B03-H016,D03-B03-H016-1,D03-B03-H017"
36.324815,32.301133,D03-B03-T23,D3-B3-T23,3,3,23,4,120,,OST-03-11,OST-3-11,OST,3,11,,4,"D03-B03-H011,D03-B03-H012,D03-B03-H013,D03-B03-H015"
36.325003,32.301073,D03-B03-T24,D3-B3-T24,3,3,24,4,120,,OST-03-11,OST-3-11,OST,3,11,,5,"D03-B03-H006,D03-B03-H007,D03-B03-H008,D03-B03-H009,D03-B03-H010"
36.325101,32.300803,D03-B03-T25,D3-B3-T25,3,3,25,2,120,,,,,,,,1,D03-B03-H005
36.325298,32.300856,D03-B03-T26,D3-B3-T26,3,3,26,4,120,,OST-03-11,OST-3-11,OST,3,11,,3,"D03-B03-H002,D03-B03-H003,D03-B03-H004"
