LONGITUDE,LATITUDE,STATUS,DISTRICT,OLD_NUMBER,NEW_NUMBER
36.3188400989,32.2883631471,decommissioned,11,THW2_3_8,11-13-CF2
36.3234470459,32.2930082908,decommissioned,11,THW2_4_3,11-04-CM2
36.3229603352,32.2931651866,decommissioned,11,THW2_4_2,11-04-CM1
36.3236870219,32.2929319621,decommissioned,11,THW2_4_4,11-04-CF2
36.322018304,32.2916784024,decommissioned,11,THW2_4_5,11-06-CF1
36.3222560475,32.2916018432,decommissioned,11,THW2_4_6,11-06-CM1
36.3227533461,32.2914421033,decommissioned,11,THW2_4_7,11-06-CM2
36.3230000116,32.2913663893,decommissioned,11,THW2_4_8,11-06-CF2
36.3218695695,32.2913551009,decommissioned,11,THW2_5_1,11-08-CF1
36.3221308819,32.2912674047,decommissioned,11,THW2_5_2,11-08-CM1
36.3226173625,32.2911145944,decommissioned,11,THW2_5_3,11-08-CM2
36.3228491594,32.2910371648,decommissioned,11,THW2_5_4,11-08-CF2
36.3211674199,32.2897814693,decommissioned,11,THW2_5_5,11-10-CF1
36.3214203654,32.2897067257,decommissioned,11,THW2_5_6,11-10-CM1
36.3221428849,32.2894636588,decommissioned,11,THW2_5_8,11-10-CF2
36.3219157543,32.2895451872,decommissioned,11,THW2_5_7,11-10-CM2
36.3210262861,32.2894532039,decommissioned,11,THW2_6_1,11-12-CF1
36.3212792554,32.2893753123,decommissioned,11,THW2_6_2,11-12-CM1
36.3217772654,32.2892092384,decommissioned,11,THW2_6_3,11-12-CM2
36.3220294629,32.2891340141,decommissioned,11,THW2_6_4,11-12-CF2
36.320332437,32.2878826813,decommissioned,11,THW2_6_5,11-14-CF1
36.32058631,32.2878007118,decommissioned,11,THW2_6_6,11-14-CM1
36.3210738025,32.2876454135,decommissioned,11,THW2_6_7,11-14-CM2
36.3213258637,32.2875648387,decommissioned,11,THW2_6_8,11-14-CF2
36.3227166401,32.2932441933,decommissioned,11,THW2_4_1,11-04-CF1
36.3195403227,32.2924643694,decommissioned,11,THW2_1_5,11-05-CF1
36.3208920251,32.2938240738,decommissioned,11,THW2_1_3,11-03-CM2
36.3188148592,32.2935294707,decommissioned,11,DALAL_1,11-05-DM
36.3240820658,32.291940725,non-existing,11,DALAL_3,11-06-DM
36.3173524486,32.2897624989,non-existing,11,DALAL_2,11-13-DM
36.3202085047,32.2940409524,decommissioned,11,THW2_1_1,11-03-CF1
36.3204167255,32.2939749538,decommissioned,11,THW2_1_2,11-03-CM1
36.3210949018,32.2937586576,decommissioned,11,THW2_1_4,11-03-CF2
36.3197633234,32.292392078,decommissioned,11,THW2_1_6,11-05-CM1
36.3202650363,32.2922384528,decommissioned,11,THW2_1_7,11-05-CM2
36.3205144605,32.2921582722,decommissioned,11,THW2_1_8,11-05-CF2
36.3193706429,32.2921396518,decommissioned,11,THW2_2_1,11-07-CF1
36.3196198643,32.2920608546,decommissioned,11,THW2_2_2,11-07-CM1
36.3201098556,32.2919043867,decommissioned,11,THW2_2_3,11-07-CM2
36.3203579717,32.2918228883,decommissioned,11,THW2_2_4,11-07-CF2
36.318686923,32.2905729664,decommissioned,11,THW2_2_5,11-09-CF1
36.3188930703,32.2935126351,decommissioned,11,DALAL_4,11-05-DF
36.3240522946,32.2918701675,non-existing,11,DALAL_5,11-06-DF
36.3174282495,32.2897411097,non-existing,11,DALAL_6,11-13-DF
36.3375436044,32.2884014059,decommissioned,8,7_1_3,8-1-MM2
36.3370971863,32.2874251162,decommissioned,8,7_2_3,8-5-MM2
36.335867088,32.286572166,decommissioned,8,7_3_4,8-9-MM1
36.336110986,32.285231158,decommissioned,8,7_4_3,8-13-MM2
36.3348687806,32.2843768767,decommissioned,8,7_5_4,8-17-MM1
36.334363599,32.2832837513,decommissioned,8,7_6_4,8-21-MM1
36.3365995213,32.286329556,decommissioned,8,7_3_3,8-9-MF2
36.3365904045,32.2825467821,decommissioned,8,7_6_2,8-22-MF3
36.3358533915,32.2840501125,decommissioned,8,7_5_3,8-17-MF2
36.3370903948,32.2836465499,decommissioned,8,7_5_2,8-18-MF3
36.3368138194,32.2886425717,decommissioned,8,7_1_ 4,8-1-MF1
36.336372293,32.2876643739,decommissioned,8,7_2_4,8-5-MF1
36.3353730675,32.285477967,decommissioned,8,7_4_4,8-13-MF1
36.3373327533,32.2822990495,decommissioned,8,7_6_1,8-22-MM4
36.3378590051,32.2833976248,decommissioned,8,7_5_1,8-18-MM4
36.3351109271,32.2830418579,decommissioned,8,7_6_3,8-21-MF2
36.3384686744,32.2856462012,decommissioned,8,7_3_2,8-10-CM3
36.3390874154,32.286768567,active,8,7_2_1,8-6-CF4
36.3397671768,32.2876589813,decommissioned,8,7_1_1,8-2-CF4
36.3390875592,32.2854848438,decommissioned,8,7_3_1,8-10-CF4
36.3388253452,32.2868561635,decommissioned,8,7_2_2,8-6-CM3
36.3390178943,32.2879036329,decommissioned,8,7_1_2,8-2-CM3
36.3385478793,32.2844220514,decommissioned,8,7_4_1,8-14-CF4
36.3386263389,32.2818889044,decommissioned,8,F7_R1_A,8-22-CM5
36.3392084405,32.2816881779,completely damaged,8,F7_R1_B,8-22-CF6
36.3390389371,32.2829939034,decommissioned,8,F7_R2_A,8-18-CF5
36.3397016725,32.2827937055,decommissioned,8,F7_R2_C,8-18-CM6
36.3376969422,32.2847034485,decommissioned,8,7_4_2,8-14-CM3
36.3402078303,32.282640262,Full damage,8,F7_R2_D,8-18-DF7
36.3388938397,32.2843110366,decommissioned,8,F7_R3_A,8-14-CF5
36.3397353685,32.2840144011,decommissioned,8,F7_R3_B,8-14-CM6
36.3397325387,32.2852836786,decommissioned,8,F7_R4_A,8-10-CM5
36.3404825981,32.2850579491,decommissioned,8,F7_R4_B,8-10-CF6
36.3407717909,32.2862169259,active,8,F7_R5_B,8-6-CF6
36.3311107093,32.2905159783,decommissioned,9,THW5_1_1,09-01-CF1
36.3313624752,32.2904326603,decommissioned,9,THW5_1_2,09-01-CM1
36.3318677341,32.2902840232,decommissioned,9,THW5_1_3,09-01-CM2
36.3321104173,32.2901841796,decommissioned,9,THW5_1_4,09-01-CF2
36.3312379926,32.2883093179,decommissioned,9,THW5_2_4,09-07-CF2
36.3306520061,32.2888786399,decommissioned,9,THW5_1_6,09-05-CM1
36.3311402453,32.2887210817,decommissioned,9,THW5_1_7,09-05-CM2
36.3304228593,32.2889468202,decommissioned,9,THW5_1_5,09-05-CF1
36.3313828683,32.2886303762,decommissioned,9,THW5_1_8,09-05-CF2
36.3302720811,32.2886134953,decommissioned,9,THW5_2_1,09-07-CF1
36.3305087072,32.2885405591,decommissioned,9,THW5_2_2,09-07-CM1
36.3309834625,32.288378388,decommissioned,9,THW5_2_3,09-07-CM2
36.329556936,32.287028823,decommissioned,9,THW5_2_5,09-09-CF1
36.3297921867,32.2869640357,decommissioned,9,THW5_2_6,09-09-CM1
36.3303009328,32.2867945636,decommissioned,9,THW5_2_7,09-09-CM2
36.3305509182,32.2867045491,decommissioned,9,THW5_2_8,09-09-CF2
36.3294102239,32.2867053822,decommissioned,9,THW5_3_1,09-11-CF1
36.3296438529,32.2866209061,decommissioned,9,THW5_3_2,09-11-CM1
36.3301788095,32.2864580523,decommissioned,9,THW5_3_3,09-11-CM2
36.3304058825,32.2863911638,decommissioned,9,THW5_3_4,09-11-CF2
36.3286920415,32.2851347315,decommissioned,9,THW5_3_5,09-13-CF1
36.3289515413,32.285060412,decommissioned,9,THW5_3_6,09-13-CM1
36.3294563232,32.2848923362,decommissioned,9,THW5_3_7,09-13-CM2
36.3296904773,32.2848221505,decommissioned,9,THW5_3_8,09-13-CF2
36.3335772294,32.2897173063,decommissioned,9,THW5_4_1,09-02-CF1
36.3338245428,32.2896421542,decommissioned,9,THW5_4_2,09-02-CM1
36.3343251112,32.2894793014,decommissioned,9,THW5_4_3,09-02-CM2
36.3345848376,32.2893899969,decommissioned,9,THW5_4_4,09-02-CF2
36.3328966212,32.288146885,decommissioned,9,THW5_4_5,09-06-CF1
36.3331275673,32.2880620528,decommissioned,9,THW5_4_6,09-06-CM1
36.3336150862,32.2879000204,decommissioned,9,THW5_4_7,09-06-CM2
36.3338639315,32.2878259627,decommissioned,9,THW5_4_8,09-06-CF2
36.3327288512,32.287812154,decommissioned,9,THW5_5_1,09-08-CF1
36.33298505,32.287717551,decommissioned,9,THW5_5_2,09-08-CM1
36.3334691333,32.2875691112,decommissioned,9,THW5_5_3,09-08-CM2
36.3337325146,32.2874747079,decommissioned,9,THW5_5_4,09-08-CF2
36.3320313206,32.2862111544,decommissioned,9,THW5_5_5,09-10-CF1
36.3322846534,32.2861392369,decommissioned,9,THW5_5_6,09-10-CM1
36.3327800329,32.2859672122,decommissioned,9,THW5_5_7,09-10-CM2
36.3330179964,32.2858982543,decommissioned,9,THW5_5_8,09-10-CF2
36.3318894842,32.2858839608,decommissioned,9,THW5_6_1,09-12-CF1
36.3321280219,32.2858074819,decommissioned,9,THW5_6_2,09-12-CM1
36.3326263487,32.2856530315,decommissioned,9,THW5_6_3,09-12-CM2
36.3328671454,32.2855615753,decommissioned,9,THW5_6_4,09-12-CF2
36.3311661233,32.2843180034,decommissioned,9,THW5_6_5,09-14-CF1
36.3314189864,32.2842365617,decommissioned,9,THW5_6_6,09-14-CM1
36.3319320397,32.284071619,decommissioned,9,THW5_6_7,09-14-CM2
36.3321639232,32.2840010849,decommissioned,9,THW5_6_8,09-14-CF2
36.3256628829,32.2922955234,decommissioned,10,THW3_1_1,10-03-CF1
36.3259084088,32.2922164703,decommissioned,10,THW3_1_2,10-03-CM1
36.3266543809,32.291972388,decommissioned,10,THW3_1_4,10-03-CF2
36.324950227,32.2907272201,decommissioned,10,THW3_1_5,10-05-CF1
36.3252008674,32.2906454795,decommissioned,10,THW3_1_6,10-05-CM1
36.3256951483,32.2904862886,decommissioned,10,THW3_1_7,10-05-CM2
36.3259446721,32.2904042081,decommissioned,10,THW3_1_8,10-05-CF2
36.3248026225,32.2903976959,decommissioned,10,THW3_2_1,10-07-CF1
36.3257971695,32.2900804293,decommissioned,10,THW3_2_4,10-07-CF2
36.3240899863,32.2888400271,decommissioned,10,THW3_2_5,10-09-CF1
36.3243437899,32.2887579891,decommissioned,10,THW3_2_6,10-09-CM1
36.3248298935,32.2886037351,decommissioned,10,THW3_2_7,10-09-CM2
36.3250590244,32.2885171869,decommissioned,10,THW3_2_8,10-09-CF2
36.32394091,32.288517865,decommissioned,10,THW3_3_1,10-11-CF1
36.324190652,32.2884282226,decommissioned,10,THW3_3_2,10-11-CM1
36.3246796488,32.2882699565,decommissioned,10,THW3_3_3,10-11-CM2
36.3249274322,32.2881881115,decommissioned,10,THW3_3_4,10-11-CF2
36.3232192042,32.2869576225,decommissioned,10,THW3_3_5,10-13-CF1
36.3234682776,32.2868779574,decommissioned,10,THW3_3_6,10-13-CM1
36.3239746782,32.2867221775,decommissioned,10,THW3_3_7,10-13-CM2
36.3242195134,32.2866419132,decommissioned,10,THW3_3_8,10-13-CF2
36.3281414729,32.2914835587,decommissioned,10,THW3_4_1,10-04-CF1
36.32838465,32.2914048224,decommissioned,10,THW3_4_2,10-04-CM1
36.3288829851,32.2912396307,decommissioned,10,THW3_4_3,10-04-CM2
36.3291224762,32.2911622667,decommissioned,10,THW3_4_4,10-04-CF2
36.3274397092,32.2899003806,decommissioned,10,THW3_4_5,10-06-CF1
36.3276797733,32.2898282559,decommissioned,10,THW3_4_6,10-06-CM1
36.3281724885,32.2896741967,decommissioned,10,THW3_4_7,10-06-CM2
36.328429172,32.289589563,decommissioned,10,THW3_4_8,10-06-CF2
36.3272839539,32.2895985405,decommissioned,10,THW3_5_1,10-08-CF1
36.3280290368,32.2893613906,decommissioned,10,THW3_5_3,10-08-CM2
36.3275348401,32.2895180176,decommissioned,10,THW3_5_2,10-08-CM1
36.3282757893,32.2892845136,decommissioned,10,THW3_5_4,10-08-CF2
36.3265664761,32.2880383841,decommissioned,10,THW3_5_5,10-10-CF1
36.3268117755,32.2879587036,decommissioned,10,THW3_5_6,10-10-CM1
36.3275543067,32.2877139178,decommissioned,10,THW3_5_8,10-10-CF2
36.3264118085,32.2876949248,decommissioned,10,THW3_6_1,10-12-CF1
36.3266594492,32.2876135683,decommissioned,10,THW3_6_2,10-12-CM1
36.327167108,32.2874659276,decommissioned,10,THW3_6_3,10-12-CM2
36.3274084685,32.287383414,decommissioned,10,THW3_6_4,10-12-CF2
36.3256966442,32.2861476608,decommissioned,10,THW3_6_5,10-14-CF1
36.325948089,32.2860656117,decommissioned,10,THW3_6_6,10-14-CM1
36.3264421923,32.2859024139,decommissioned,10,THW3_6_7,10-14-CM2
36.327308393,32.2877975363,decommissioned,10,THW3_5_7,10-10-CM2
36.3266895377,32.2858209671,decommissioned,10,THW3_6_8,10-14-CF2
36.3255393523,32.2901601326,decommissioned,10,THW3_2_3,10-07-CM2
36.3250506949,32.2903226154,decommissioned,10,THW3_2_2,10-07-CM1
36.3264065926,32.2920565462,decommissioned,10,THW3_1_3,10-03-CM2
36.3257680295,32.297645663,non-existing,4,F5_R3_M,04-02-MM
36.3244986398,32.2955155206,non-existing,4,F5_R1_M,04-08-MM
36.3253112819,32.2965524705,non-existing,4,F5_R2_M,04-04-MM
36.3216110758,32.2982450744,non-existing,4,THW200,04-03-CF1
36.3227168676,32.2978898582,non-existing,4,THW201,04-03-CF2
36.3218714242,32.297787562,non-existing,4,THW203,04-03-CM1
36.3229831577,32.2974235784,non-existing,4,THW204,04-03-CF3
36.3239203621,32.2971200992,non-existing,4,THW205,04-03-CM2
36.3212278656,32.2974052955,non-existing,4,THW206,04-07-CF1
36.322345763,32.2970419118,non-existing,4,THW207,04-07-CF2
36.3233383293,32.2967318346,non-existing,4,THW208,04-07-CF3
36.3226029062,32.2965781555,non-existing,4,THW210,04-07-CM1
36.3235474711,32.2962844761,non-existing,4,THW211,04-07-CM2
36.3208144802,32.296462138,non-existing,4,THW212,04-11-CF1
36.3219218229,32.2961028032,non-existing,4,THW213,04-11-CF2
36.3229148851,32.2957963419,non-existing,4,THW214,04-11-CF3
36.321084139,32.2960417174,non-existing,4,THW215,04-11-CM1
36.3221882014,32.295676791,non-existing,4,THW216,04-11-CM2
36.3231711047,32.2953252075,non-existing,4,THW217,04-11-CM3
36.3250102565,32.2953633015,non-existing,4,F5_R1_F,04-08-MF
36.3256080442,32.2964493757,non-existing,4,F5_R2_F,04-04-MF
36.3260712814,32.2975405163,non-existing,4,F5_R3_F,04-02-MF
36.3261840127,32.2987351479,non-existing,3,F5_R4_M,03-10-MM
36.3265460835,32.2997592608,non-existing,3,F5_R5_M,03-06-MM
36.323163322,32.3017336224,non-existing,3,THW100,03-01-CF2
36.3239767899,32.3007110488,non-existing,3,THW105,03-05-CM1
36.3238910097,32.3004107683,non-existing,3,THW107,03-07-CF
36.3251046193,32.2996413497,non-existing,3,THW109,03-09-CF
36.3224925164,32.3000863942,non-existing,3,THW110,03-09-CM1
36.3235426263,32.2995625334,non-existing,3,THW113,03-11-CF2
36.324496768,32.299253391,non-existing,3,THW114,03-11-CF3
36.3226142103,32.299466281,non-existing,3,THW115,03-11-CM1
36.3237313914,32.29912295,non-existing,3,THW116,03-11-CM2
36.3246368166,32.3024368394,non-existing,3,THW98,03-01-CF1
36.3265944015,32.2986092733,non-existing,3,F5_R4_F,03-10-MF
36.3269367509,32.2996349728,non-existing,3,F5_R5_F,03-06-MF
36.3235565725,32.299764501,non-existing,3,THW111,03-09-CM2
36.3224310739,32.2999099937,non-existing,3,THW112,03-11-CF1
36.3217433433,32.3015539332,non-existing,3,Dalal_pre_119_M,03-05-DM
36.3221999491,32.3014171955,non-existing,3,Dalal_pre_118_F,03-05-DF
36.3268655148,32.3016364361,non-existing,3,Dalal_pre_95_M,03-02-DM
36.3265816535,32.3017382107,non-existing,3,Dalal_pre_96_F,03-02-DF
36.3263497503,32.3002808246,non-existing,3,Dalal_pre_93_F,03-03-DF
36.3259309438,32.3003755918,non-existing,3,Dalal_pre_94_M,03-03-DM
36.3243589408,32.3013339313,non-existing,3,Dalal_pre_M_102_B,03-01-DF
36.3252139846,32.3010783071,non-existing,3,Dalal_pre_M_102_A,03-01-DM
36.3323692315,32.2988481764,non-existing,5,F5_R1_A,05-02-MM
36.3293872152,32.2998246608,non-existing,5,F5_R1_D,05-01-MM
36.3317233486,32.2980601901,non-existing,5,P5_1_1,05-08-MM
36.3312234714,32.2982291717,non-existing,5,P5_1_2,05-08-MF
36.3297408178,32.2987063452,non-existing,5,P5_1_3,05-07-MF
36.3289830281,32.2989606258,non-existing,5,P5_1_4,05-07-MM
36.3315236365,32.2970089094,non-existing,5,P5_2_1,05-10-MM
36.3310274364,32.2971704586,non-existing,5,P5_2_2,05-10-MF
36.3292920142,32.297733389,non-existing,5,P5_2_3,05-09-MF
36.3285401413,32.2979734796,non-existing,5,P5_2_4,05-09-MM
36.3287907647,32.2966444416,non-existing,5,P5_3_3,05-13-MF
36.3310217551,32.2959143398,non-existing,5,P5_3_1,05-14-MF
36.330280523,32.2961497378,non-existing,5,P5_3_2,05-14-MM
36.3280493951,32.2968873542,non-existing,5,P5_3_4,05-13-MM
36.3305130197,32.2948082538,non-existing,5,P5_4_1,05-20-MM
36.329763477,32.295058988,non-existing,5,P5_4_2,05-20-MF
36.3282894837,32.295541901,non-existing,5,P5_4_3,05-19-MF
36.3275499593,32.2958006328,non-existing,5,P5_4_4,05-19-MM
36.3316213352,32.2990899771,non-existing,5,F5_R1_B,05-02-MF
36.3301425436,32.2995800518,non-existing,5,F5_R1_C,05-01-MF
36.3398760747,32.2953642683,decommissioned,7,6_1_4,7-21-MM1
36.3394444681,32.2943848617,decommissioned,7,6_2_4,7-17-MM1
36.338946067,32.2932945412,decommissioned,7,6_3_4,7-13-MM1
36.3384491306,32.2922033355,decommissioned,7,6_4_4,7-9-MM1
36.3379495175,32.2911158309,decommissioned,7,6_5_4,7-5-MM1
36.3374429383,32.2900297962,decommissioned,7,6_6_4,7-1-MM1
36.3428441294,32.2943829844,decommissioned,7,6_1_1,7-22-MM4
36.3424125863,32.29340984,decommissioned,7,6_2_1,7-18-MM4
36.3419117876,32.2923141983,decommissioned,7,6_3_1,7-14-MM4
36.3421105538,32.2946267022,decommissioned,7,6_1_2,7-22-MF3
36.3406633975,32.2914635369,active,7,6_4_2,7-10-MF3
36.3401736003,32.2903791642,decommissioned,7,6_5_2,7-6-MF3
36.33966985,32.289289713,decommissioned,7,6_6_2,7-2-MF3
36.3416679368,32.2936521374,decommissioned,7,6_2_2,7-18-MF3
36.3406242078,32.2951189311,decommissioned,7,6_1_3,7-21-MF2
36.3401857396,32.2941424156,decommissioned,7,6_2_3,7-17-MF2
36.3396876619,32.2930487114,decommissioned,7,6_3_3,7-13-MF2
36.3392004916,32.2919612852,decommissioned,7,6_4_3,7-9-MF2
36.3386950597,32.2908703557,decommissioned,7,6_5_3,7-5-MF2
36.3381965111,32.2897736698,decommissioned,7,6_6_3,7-1-MF2
36.3404168639,32.2890447575,decommissioned,7,6_6_1,7-2-MM4
36.3409158388,32.290135659,decommissioned,7,6_5_1,7-6-MM4
36.3426212623,32.2908199879,decommissioned,7,F6_R3_B,7-10-MM6
36.3411648259,32.2925602585,decommissioned,7,6_3_2,7-14-MF3
36.3431171546,32.2919177545,decommissioned,7,F6_R4_B,7-14-MM6
36.3421204139,32.2897343352,decommissioned,7,F6_R2_B,7-6-MM6
36.3416293314,32.2886294031,decommissioned,7,F6_R1_B,7-2-MM6
36.3414094241,32.2912204308,decommissioned,7,6_4_1,7-10-MM4
36.341207612,32.2887771841,decommissioned,7,F6_R1_A,7-2-MF5
36.3417111464,32.2898672059,decommissioned,7,F6_R2_A,7-6-MF5
36.3422127863,32.2909514547,decommissioned,7,F6_R3_A,7-10-MF5
36.3427033895,32.2920470798,decommissioned,7,F6_R4_A,7-14-MF5
36.3282736516,32.2947588903,non-existing,5,P5-5-2,05-21-DF
36.3286204616,32.2946098342,non-existing,5,P5-5-1,05-22-DM
36.3188937808,32.2988571199,non-existing,2,THW29,
36.3155171644,32.3000065238,non-existing,2,THW28,
36.3149032739,32.2966102607,completely damaged,2,S1-S0-2,
36.3145368173,32.2964692771,completely damaged,2,S1-S0-1,
36.3198837166,32.2990467955,completely damaged,2,THW24,
36.3183331623,32.29949047,completely damaged,2,,
36.3180433911,32.2989523758,completely damaged,2,THW30,
36.316180617,32.2992675482,completely damaged,2,THW27,
36.3164890637,32.2985211177,completely damaged,2,THW35,
36.3157680957,32.2979918503,completely damaged,2,THW37,
36.3150549874,32.2973433417,completely damaged,2,THW42,
36.3166873221,32.2969665561,completely damaged,2,THW45,
36.3174185292,32.2968970009,completely damaged,2,,
36.3189467875,32.2969283533,completely damaged,2,,
36.3177102744,32.2961849256,completely damaged,2,S1-S0-3,
36.3190906217,32.2977767282,completely damaged,2,THW39,
36.3179688343,32.2976686666,completely damaged,2,THW40,
36.3184242239,32.2967569398,completely damaged,2,,
36.3161341379,32.294155074,non-existing,12,S1-S4-M,
36.3157842776,32.2942300087,non-existing,12,S1-S4-F,
36.3180742326,32.2960972458,non-existing,12,S1-S0-4,
36.3187351963,32.3001114284,non-existing,1,THW21,
36.3193691093,32.3008638774,non-existing,1,THW14,
36.3165387832,32.3026331276,completely damaged,1,Dalal-6430-15,
36.3200045617,32.302695196,completely damaged,1,,
36.3195041845,32.3027334499,completely damaged,1,THW5,
