LONGITUDE,LATITUDE,STATUS,DISTRICT,OLD_NUMBER,NEW_NUMBER
36.3211753914,32.301804806,completely damaged,1,THW7,
36.3206789925,32.3012517396,completely damaged,1,THW13,
36.3200147016,32.3019192394,completely damaged,1,THW10,
36.3197485174,32.2999415218,completely damaged,1,THW20,
36.3196570705,32.3002202196,completely damaged,1,THW17,
36.3174805045,32.3007043657,completely damaged,1,THW19,
36.3176736118,32.3002372258,completely damaged,1,,
36.3178590286,32.3025528198,completely damaged,1,THW9,
36.3187366539,32.3015159368,completely damaged,1,THW11,
36.3179266268,32.301749834,completely damaged,1,THW12,
36.3167053829,32.3028218369,completely damaged,1,Dalal-6430-16,
36.3410880262,32.2871933957,decommissioned,8,F7_R6_A,8-2-CF6
36.3386090762,32.2831372415,completely damaged,8,F7_R1_B_V,
36.3237245779,32.2975571907,non-existing,4,THW202,
36.3215497257,32.2969580572,non-existing,4,THW209,
36.3255181703,32.3005879355,non-existing,3,THW103,
36.32284451,32.3007451584,non-existing,3,THW106,
36.3247428806,32.2988760411,non-existing,3,THW117,
36.3261850638,32.3018462762,non-existing,3,,
36.3237116107,32.3027279373,non-existing,3,,
36.3229222923,32.300975938,non-existing,3,,
36.3432040017,32.2931443117,decommissioned,7,F_6_F,7-18-MF5
36.3435591788,32.2930274485,decommissioned,7,F_6_M,7-18-MM6
36.3197807979,32.3030912926,completely damaged,1,THW_3,
36.3207059001,32.3028319973,completely damaged,1,THW_2,
36.3215445912,32.3026875168,completely damaged,1,THW_1,
36.3144038144,32.2980420386,completely damaged,2,THW_38,
36.3433748416,32.294205077,decommissioned,7,,7-22-DF5
36.3400880224,32.2864406016,decommissioned,8,,8-6-CM5
36.3405570851,32.2873557976,decommissioned,8,,8-2-CM5
