LONGITUDE,LATITUDE,NAME,CONNECTED,DISTRICT,NUMBER,TYPE,CAPACITY,COUNT,NGO,INSTALLBY
36.3288908357,32.2989941825,OST-05-05,yes,5,5,OST,25,1,Oxfam,Oxfam
36.3292926258,32.299867984,OST-05-06,yes,5,6,OST,25,1,Oxfam,Oxfam
36.3283849435,32.2954539178,OST-05-07,yes,5,7,OST,25,1,Oxfam,Oxfam
36.3285040097,32.2940256897,NST-05-08,yes,5,8,NST,15,1,Oxfam,Oxfam
36.3306757126,32.3004580021,NST-05-09,yes,5,9,NST,15,1,Oxfam,Oxfam
36.330578817,32.2983807244,NST-05-10,yes,5,10,NST,15,1,Oxfam,Oxfam
36.3301493591,32.2961293381,OST-05-11,yes,5,11,OST,25,1,Oxfam,Oxfam
36.331503854,32.299134201,OST-05-12,yes,5,12,OST,25,1,Oxfam,Oxfam
36.3322442449,32.2999138182,NST-05-13,yes,5,13,NST,15,1,Oxfam,Oxfam
36.3300853465,32.2939534367,NST-05-14,yes,5,14,NST,15,1,Oxfam,Oxfam
36.3305981252,32.2947265186,OST-05-15,yes,5,15,OST,25,1,Oxfam,Oxfam
36.3319389797,32.2956356745,NST-05-16,yes,5,16,NST,15,1,Oxfam,Oxfam
36.3331219244,32.2986801842,NST-05-17,yes,5,17,NST,15,1,Oxfam,Oxfam
36.3388197279,32.2932816167,OST-07-01,yes,7,1,OST,25,1,Oxfam,Oxfam
36.3397884568,32.2953946302,OST-07-02,yes,7,2,OST,25,1,Oxfam,Oxfam
36.3393238732,32.2943718911,OST-07-03,yes,7,3,OST,25,1,Oxfam,Oxfam
36.338291616,32.2896712885,OST-07-04,yes,7,4,OST,25,1,Oxfam,Oxfam
36.3387864034,32.2907720283,OST-07-05,yes,7,5,OST,25,1,Oxfam,Oxfam
36.3392942062,32.2918639118,OST-07-06,yes,7,6,OST,25,1,Oxfam,Oxfam
36.3404880268,32.2889469799,OST-07-07,yes,7,7,OST,25,1,Oxfam,Oxfam
36.3410034176,32.2900422226,OST-07-08,yes,7,8,OST,25,1,Oxfam,Oxfam
36.3414972869,32.2911328153,OST-07-09,yes,7,9,OST,25,1,Oxfam,Oxfam
36.3420018921,32.2922311996,OST-07-10,yes,7,10,OST,25,1,Oxfam,Oxfam
36.3425062487,32.2933256147,OST-07-11,yes,7,11,OST,25,1,Oxfam,Oxfam
36.3429704517,32.2943418627,OST-07-12,yes,7,12,OST,25,1,Oxfam,Oxfam
36.3415767769,32.2898576887,OST-07-13,yes,7,13,OST,25,1,Oxfam,Oxfam
36.3417213525,32.2885380092,OST-07-14,yes,7,14,OST,25,1,Oxfam,Oxfam
36.3427151581,32.2907289701,OST-07-15,yes,7,15,OST,25,1,Oxfam,Oxfam
36.3432257202,32.2918297919,OST-07-16,yes,7,16,OST,25,1,Oxfam,Oxfam
36.3436404401,32.2929532345,OST-07-17,yes,7,17,OST,25,1,Oxfam,Oxfam
36.3356545758,32.2976835477,,no,6,0,OST,25,1,Oxfam,IRD
36.3353041959,32.2968370631,,no,6,0,OST,25,1,Oxfam,IRD
36.3332728434,32.2957055842,,no,6,0,OST,25,1,Oxfam,IRD
36.3324582129,32.293796773,,no,6,0,OST,25,1,Oxfam,IRD
36.3315120191,32.2919307389,,no,6,0,OST,25,1,Oxfam,IRD
36.3377627683,32.2960047032,,no,6,0,OST,25,1,Oxfam,IRD
36.336905969,32.2941278597,,no,6,0,OST,25,1,Oxfam,IRD
36.3361857675,32.2925608681,,no,6,0,OST,25,1,Oxfam,IRD
36.3346310866,32.2909066649,,no,6,0,OST,25,1,Oxfam,IRD
36.3391244971,32.2878235947,,no,8,0,OST,25,1,Oxfam,IRD
36.3398222429,32.2875873932,,no,8,0,OST,25,1,Oxfam,IRD
36.3402028198,32.2874577348,,no,8,0,OST,25,1,Oxfam,IRD
36.3403507592,32.287402303,,no,8,0,OST,25,1,Oxfam,IRD
36.3411436983,32.2871381874,,no,8,0,OST,25,1,Oxfam,IRD
36.3393960083,32.2866083824,,no,8,0,OST,25,1,Oxfam,IRD
36.3402528589,32.2863617318,,no,8,0,OST,25,1,Oxfam,IRD
36.3410938384,32.2861197268,,no,8,0,OST,25,1,Oxfam,IRD
36.3381486307,32.2857584713,,no,8,0,OST,25,1,Oxfam,IRD
36.3388834038,32.2855129259,,no,8,0,OST,25,1,Oxfam,IRD
36.3405643387,32.2849477857,,no,8,0,OST,25,1,Oxfam,IRD
36.3402047779,32.2850592223,,no,8,0,OST,25,1,Oxfam,IRD
36.3397871708,32.2851982304,,no,8,0,OST,25,1,Oxfam,IRD
36.3364263905,32.2825729171,,no,8,0,OST,25,1,Oxfam,IRD
36.338700416,32.2818987909,,no,8,0,OST,25,1,Oxfam,IRD
36.3393080624,32.2816769271,,no,8,0,OST,25,1,Oxfam,IRD
36.3369335284,32.2836594168,,no,8,0,OST,25,1,Oxfam,IRD
36.339195952,32.2829042334,,no,8,0,OST,25,1,Oxfam,IRD
36.3402799735,32.2825743897,,no,8,0,OST,25,1,Oxfam,IRD
36.3374405106,32.2847323902,,no,8,0,OST,25,1,Oxfam,IRD
36.3384872396,32.2843893708,,no,8,0,OST,25,1,Oxfam,IRD
36.340363632,32.2837503432,,no,8,0,OST,25,1,Oxfam,IRD
36.3399829583,32.2838709859,,no,8,0,OST,25,1,Oxfam,IRD
36.3342167466,32.2833050367,,no,8,0,OST,25,1,Oxfam,IRD
36.3347450364,32.2843868478,,no,8,0,OST,25,1,Oxfam,IRD
36.3362194261,32.2851442858,,no,8,0,OST,25,1,Oxfam,IRD
36.3366895918,32.2862446426,,no,8,0,OST,25,1,Oxfam,IRD
36.3362346297,32.2876508487,,no,8,0,OST,25,1,Oxfam,IRD
36.3366916077,32.288636717,,no,8,0,OST,25,1,Oxfam,IRD
36.3187505591,32.296820962,,no,2,0,OST,25,2,ACTED,ACTED
36.3174578363,32.2969112123,,no,2,0,OST,25,2,ACTED,ACTED
