house_id,house_id_short,house_district,house_block,house_number,house_sub_unit,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity
D01-B01-H046,D1-B1-H46,1,1,46,,D01-B01-T02,D1-B1-T2,1,1,2,4,160,,,,,,,
D01-B01-H047,D1-B1-H47,1,1,47,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B01-H048,D1-B1-H48,1,1,48,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B01-H049,D1-B1-H49,1,1,49,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B01-H049,D1-B1-H49,1,1,49,,D01-B01-T02,D1-B1-T2,1,1,2,4,160,,,,,,,
D01-B01-H050,D1-B1-H50,1,1,50,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B01-H051,D1-B1-H51,1,1,51,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B01-H052,D1-B1-H52,1,1,52,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B01-H053,D1-B1-H53,1,1,53,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B01-H054,D1-B1-H54,1,1,54,,D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,
D01-B02-H001,D1-B2-H1,1,2,1,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B02-H002,D1-B2-H2,1,2,2,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B02-H003,D1-B2-H3,1,2,3,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H003,D1-B2-H3,1,2,3,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B02-H004,D1-B2-H4,1,2,4,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H005,D1-B2-H5,1,2,5,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H006,D1-B2-H6,1,2,6,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H007,D1-B2-H7,1,2,7,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H008,D1-B2-H8,1,2,8,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H009,D1-B2-H9,1,2,9,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H010,D1-B2-H10,1,2,10,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H011,D1-B2-H11,1,2,11,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H012,D1-B2-H12,1,2,12,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H013,D1-B2-H13,1,2,13,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H014,D1-B2-H14,1,2,14,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H015,D1-B2-H15,1,2,15,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H016,D1-B2-H16,1,2,16,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H017,D1-B2-H17,1,2,17,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H018,D1-B2-H18,1,2,18,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H019,D1-B2-H19,1,2,19,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H020,D1-B2-H20,1,2,20,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H021,D1-B2-H21,1,2,21,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H022,D1-B2-H22,1,2,22,,D01-B02-T03,D1-B2-T3,1,2,3,4,160,,,,,,,
D01-B02-H023,D1-B2-H23,1,2,23,,D01-B02-T03,D1-B2-T3,1,2,3,4,160,,,,,,,
D01-B02-H024,D1-B2-H24,1,2,24,,D01-B02-T03,D1-B2-T3,1,2,3,4,160,,,,,,,
D01-B02-H025,D1-B2-H25,1,2,25,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B02-H026,D1-B2-H26,1,2,26,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B02-H028,D1-B2-H28,1,2,28,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B02-H029,D1-B2-H29,1,2,29,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B02-H030,D1-B2-H30,1,2,30,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B02-H031,D1-B2-H31,1,2,31,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B02-H032,D1-B2-H32,1,2,32,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B02-H033,D1-B2-H33,1,2,33,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B02-H034,D1-B2-H34,1,2,34,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B02-H036,D1-B2-H36,1,2,36,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B02-H037,D1-B2-H37,1,2,37,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B02-H038,D1-B2-H38,1,2,38,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B02-H039,D1-B2-H39,1,2,39,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B02-H040,D1-B2-H40,1,2,40,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B02-H041,D1-B2-H41,1,2,41,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H042,D1-B2-H42,1,2,42,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H043,D1-B2-H43,1,2,43,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H044,D1-B2-H44,1,2,44,,D01-B02-T04,D1-B2-T4,1,2,4,4,160,,,,,,,
D01-B02-H045,D1-B2-H45,1,2,45,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H046,D1-B2-H46,1,2,46,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H047,D1-B2-H47,1,2,47,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H048,D1-B2-H48,1,2,48,,D01-B02-T05,D1-B2-T5,1,2,5,4,160,,,,,,,
D01-B02-H049,D1-B2-H49,1,2,49,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H050,D1-B2-H50,1,2,50,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H051,D1-B2-H51,1,2,51,,D01-B02-T06,D1-B2-T6,1,2,6,4,160,,,,,,,
D01-B02-H053,D1-B2-H53,1,2,53,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H054,D1-B2-H54,1,2,54,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H055,D1-B2-H55,1,2,55,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H056,D1-B2-H56,1,2,56,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H057,D1-B2-H57,1,2,57,,D01-B02-T07,D1-B2-T7,1,2,7,4,160,,,,,,,
D01-B02-H058,D1-B2-H58,1,2,58,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B02-H060,D1-B2-H60,1,2,60,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B03-H002,D1-B3-H2,1,3,2,,D01-B02-T08,D1-B2-T8,1,2,8,8,160,,,,,,,
D01-B03-H003,D1-B3-H3,1,3,3,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H004,D1-B3-H4,1,3,4,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H005,D1-B3-H5,1,3,5,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H006,D1-B3-H6,1,3,6,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H007,D1-B3-H7,1,3,7,,D01-B03-T15,D1-B3-T15,1,3,15,4,160,,,,,,,
D01-B03-H008,D1-B3-H8,1,3,8,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H008,D1-B3-H8,1,3,8,,D01-B03-T15,D1-B3-T15,1,3,15,4,160,,,,,,,
D01-B03-H009,D1-B3-H9,1,3,9,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H010,D1-B3-H10,1,3,10,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H011,D1-B3-H11,1,3,11,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H013,D1-B3-H13,1,3,13,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H014,D1-B3-H14,1,3,14,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H015,D1-B3-H15,1,3,15,,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H016,D1-B3-H16,1,3,16,,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H017,D1-B3-H17,1,3,17,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B03-H019,D1-B3-H19,1,3,19,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B03-H020,D1-B3-H20,1,3,20,,D01-B02-T02,D1-B2-T2,1,2,2,4,160,,,,,,,
D01-B03-H021,D1-B3-H21,1,3,21,,D01-B02-T02,D1-B2-T2,1,2,2,4,180,,,,,,,
D01-B03-H022,D1-B3-H22,1,3,22,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B03-H023,D1-B3-H23,1,3,23,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B03-H024,D1-B3-H24,1,3,24,,D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,
D01-B03-H024,D1-B3-H24,1,3,24,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H025,D1-B3-H25,1,3,25,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H026,D1-B3-H26,1,3,26,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H027,D1-B3-H27,1,3,27,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H028,D1-B3-H28,1,3,28,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H029,D1-B3-H29,1,3,29,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H030,D1-B3-H30,1,3,30,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H031,D1-B3-H31,1,3,31,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H032,D1-B3-H32,1,3,32,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H033,D1-B3-H33,1,3,33,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H034,D1-B3-H34,1,3,34,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H035,D1-B3-H35,1,3,35,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H036,D1-B3-H36,1,3,36,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H037,D1-B3-H37,1,3,37,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B03-H038,D1-B3-H38,1,3,38,,D01-B03-T08,D1-B3-T8,1,3,8,4,160,,,,,,,
D01-B03-H039,D1-B3-H39,1,3,39,,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H040,D1-B3-H40,1,3,40,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H041,D1-B3-H41,1,3,41,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H042,D1-B3-H42,1,3,42,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H043,D1-B3-H43,1,3,43,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H044,D1-B3-H44,1,3,44,,D01-B03-T11,D1-B3-T11,1,3,11,8,160,,,,,,,
D01-B03-H045,D1-B3-H45,1,3,45,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H046,D1-B3-H46,1,3,46,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H047,D1-B3-H47,1,3,47,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H048,D1-B3-H48,1,3,48,,D01-B03-T13,D1-B3-T13,1,3,13,4,160,,,,,,,
D01-B03-H048,D1-B3-H48,1,3,48,,D01-B03-T15,D1-B3-T15,1,3,15,4,160,,,,,,,
