X,Y,ORIGINAL,NGO,DISTRICT,BLOCK,OLDBIN,NEWBINLTR,NEWBINTTB,IDLTR,IDTTB,GPSLAT,GPSLON,GPSALT,GPSACC,HASID,CONDITION,XCOORD,YCOORD
36.3270523699895,32.2944552199862,421,JEN,5,21,0,1,2,D5-B21-B1,D5-B21-B2,32.29445522000,36.32705237000,676,4,no,maintain,248287,3575809
36.3292192899895,32.2976302899862,422,JEN,5,9,0,3,2,D5-B9-B3,D5-B9-B2,32.29763029000,36.32921929000,692,4,no,replace,248355,3576211
36.3320453099896,32.2979625399863,423,JEN,5,6,0,2,2,D5-B6-B2,D5-B6-B2,32.29796254000,36.33204531000,688,4,no,maintain,248591,3576339
36.3281808899895,32.2992384799862,424,JEN,5,5,0,1,2,D5-B5-B1,D5-B5-B2,32.29923848000,36.32818089000,681,4,no,replace,248201,3576343
36.3208973899893,32.3043068299859,425,ACTED,1,0,0,11,1,D1-B0-B11,D1-B0-B1,32.30430683000,36.32089739000,678,4,no,,247361,3576628
36.3209353099893,32.303997219986,426,ACTED,1,0,0,12,3,D1-B0-B12,D1-B0-B3,32.30399722000,36.32093531000,709,4,no,,247376,3576598
36.3206690999893,32.3036395699859,427,ACTED,1,1,0,4,3,D1-B1-B4,D1-B1-B3,32.30363957000,36.32066910000,676,4,no,,247366,3576552
36.3222255299893,32.303840629986,428,ACTED,1,0,0,13,2,D1-B0-B13,D1-B0-B2,32.30384063000,36.32222553000,684,4,no,,247496,3576624
36.3220136799893,32.303305469986,429,ACTED,1,1,0,5,1,D1-B1-B5,D1-B1-B1,32.30330547000,36.32201368000,706,4,no,,247498,3576561
36.3212883599893,32.303195919986,430,ACTED,1,2,0,1,1,D1-B2-B1,D1-B2-B1,32.30319592000,36.32128836000,695,4,no,,247438,3576526
36.3202665999893,32.3034698499859,431,ACTED,1,1,0,3,4,D1-B1-B3,D1-B1-B4,32.30346985000,36.32026660000,698,4,no,,247337,3576521
36.3196753799893,32.3035450099859,432,ACTED,1,1,0,2,5,D1-B1-B2,D1-B1-B5,32.30354501000,36.31967538000,681,4,no,,247282,3576509
36.3194214399893,32.3040924899859,433,ACTED,1,1,0,1,2,D1-B1-B1,D1-B1-B2,32.30409249000,36.31942144000,688,4,no,,247239,3576557
36.3186787199893,32.3039822699859,434,ACTED,1,0,0,10,4,D1-B0-B10,D1-B0-B4,32.30398227000,36.31867872000,684,4,no,,247177,3576521
36.3182979899892,32.3038717499859,435,ACTED,1,0,0,9,5,D1-B0-B9,D1-B0-B5,32.30387175000,36.31829799000,680,4,no,,247148,3576497
36.3197036599893,32.3032811899859,436,ACTED,1,3,0,1,4,D1-B3-B1,D1-B3-B4,32.30328119000,36.31970366000,702,4,no,,247295,3576482
36.3202660399893,32.3031057399859,437,ACTED,1,3,0,2,3,D1-B3-B2,D1-B3-B3,32.30310574000,36.32026604000,678,4,no,,247352,3576483
36.3208935199893,32.303032869986,438,ACTED,1,3,0,3,1,D1-B3-B3,D1-B3-B1,32.30303287000,36.32089352000,691,4,no,,247410,3576496
36.3216357299893,32.302729839986,439,ACTED,1,3,0,5,2,D1-B3-B5,D1-B3-B2,32.30272984000,36.32163573000,680,4,no,,247487,3576489
36.3215135499893,32.302471909986,440,ACTED,1,3,0,4,5,D1-B3-B4,D1-B3-B5,32.30247191000,36.32151355000,693,4,no,,247486,3576458
36.3206840299893,32.3024169399859,441,ACTED,1,4,0,6,2,D1-B4-B6,D1-B4-B2,32.30241694000,36.32068403000,687,4,no,,247415,3576425
36.3197325099893,32.3026381799859,442,ACTED,1,4,0,4,3,D1-B4-B4,D1-B4-B3,32.30263818000,36.31973251000,687,4,no,,247323,3576417
36.3187999599893,32.3030914799859,443,ACTED,1,4,0,3,1,D1-B4-B3,D1-B4-B1,32.30309148000,36.31879996000,696,4,no,,247223,3576433
36.3174521899892,32.3030080099858,444,ACTED,1,4,0,1,6,D1-B4-B1,D1-B4-B6,32.30300801000,36.31745219000,683,4,no,,247107,3576380
36.3180452499892,32.3028126399859,445,ACTED,1,5,0,1,2,D1-B5-B1,D1-B5-B2,32.30281264000,36.31804525000,696,4,no,,247167,3576379
36.3184056299892,32.3028319699859,446,ACTED,1,4,0,2,5,D1-B4-B2,D1-B4-B5,32.30283197000,36.31840563000,709,4,no,,247198,3576393
36.3197141899893,32.3025128099859,447,ACTED,1,4,0,5,4,D1-B4-B5,D1-B4-B4,32.30251281000,36.31971419000,683,4,no,,247326,3576403
36.3214506099893,32.302065479986,448,ACTED,1,5,0,4,1,D1-B5-B4,D1-B5-B1,32.30206548000,36.32145061000,703,4,no,,247497,3576414
36.3210185599893,32.3014961999859,449,ACTED,1,5,0,3,4,D1-B5-B3,D1-B5-B4,32.30149620000,36.32101856000,695,4,no,,247481,3576341
36.3197041999893,32.3019520499859,450,ACTED,1,5,0,2,3,D1-B5-B2,D1-B5-B3,32.30195205000,36.31970420000,688,4,no,,247347,3576344
36.3187885199893,32.3020968799859,451,ACTED,1,6,0,5,1,D1-B6-B5,D1-B6-B1,32.30209688000,36.31878852000,697,4,no,,247261,3576329
36.3179145899892,32.3022708099859,452,ACTED,1,6,0,3,4,D1-B6-B3,D1-B6-B4,32.30227081000,36.31791459000,705,4,no,,247177,3576318
36.3168266699892,32.3017524399858,453,ACTED,1,6,0,1,9,D1-B6-B1,D1-B6-B9,32.30175244000,36.31682667000,705,4,no,,247101,3576228
36.3172362999892,32.3017973599858,454,ACTED,1,6,0,2,8,D1-B6-B2,D1-B6-B8,32.30179736000,36.31723630000,678,4,no,,247135,3576247
36.3177041399892,32.3017907199859,455,ACTED,1,6,0,4,7,D1-B6-B4,D1-B6-B7,32.30179072000,36.31770414000,688,4,no,,247177,3576261
36.3186885599893,32.3016373899859,456,ACTED,1,6,0,6,6,D1-B6-B6,D1-B6-B6,32.30163739000,36.31868856000,696,4,no,,247270,3576278
36.3201042599893,32.3015869299859,457,ACTED,1,6,0,7,3,D1-B6-B7,D1-B6-B3,32.30158693000,36.32010426000,696,4,no,,247397,3576320
36.3201028999893,32.3015230999859,458,ACTED,1,6,0,8,5,D1-B6-B8,D1-B6-B5,32.30152310000,36.32010290000,696,4,no,,247399,3576313
36.3210165799893,32.301388799986,459,ACTED,1,6,0,9,2,D1-B6-B9,D1-B6-B2,32.30138880000,36.32101658000,701,4,no,,247485,3576329
36.3208549199893,32.3009980499859,460,ACTED,1,7,0,1,1,D1-B7-B1,D1-B7-B1,32.30099805000,36.32085492000,710,4,no,,247486,3576283
36.3181066599892,32.3013752399859,461,ACTED,1,8,0,1,3,D1-B8-B1,D1-B8-B3,32.30137524000,36.31810666000,712,4,no,,247229,3576232
36.3182099799892,32.3011826599859,462,ACTED,1,9,0,5,4,D1-B9-B5,D1-B9-B4,32.30118266000,36.31820998000,691,4,no,,247245,3576215
36.3189243699893,32.3011131799859,463,ACTED,1,9,0,7,2,D1-B9-B7,D1-B9-B2,32.30111318000,36.31892437000,688,4,no,,247311,3576231
36.3193983599893,32.3010207799859,464,ACTED,1,9,0,9,1,D1-B9-B9,D1-B9-B1,32.30102078000,36.31939836000,683,4,no,,247356,3576238
36.3208308199893,32.300759889986,465,ACTED,1,8,0,3,2,D1-B8-B3,D1-B8-B2,32.30075989000,36.32083082000,700,4,no,,247493,3576258
36.3208373099893,32.3009353499859,466,ACTED,1,8,0,2,1,D1-B8-B2,D1-B8-B1,32.30093535000,36.32083731000,671,4,no,,247487,3576276
36.3206789099893,32.3004225899859,467,ACTED,1,9,0,13,3,D1-B9-B13,D1-B9-B3,32.30042259000,36.32067891000,681,4,no,,247493,3576218
36.3195840299893,32.3006419399859,468,ACTED,1,9,0,11,5,D1-B9-B11,D1-B9-B5,32.30064194000,36.31958403000,692,4,no,,247387,3576204
36.3192942299893,32.3006259099859,469,ACTED,1,9,0,10,7,D1-B9-B10,D1-B9-B7,32.30062591000,36.31929423000,688,4,no,,247363,3576193
36.3181018999892,32.3007893599859,470,ACTED,1,9,0,6,9,D1-B9-B6,D1-B9-B9,32.30078936000,36.31810190000,682,4,no,,247251,3576171
36.3175035299892,32.3008108399858,471,ACTED,1,9,0,4,11,D1-B9-B4,D1-B9-B11,32.30081084000,36.31750353000,683,4,no,,247197,3576153
36.3169377399892,32.3008611799858,472,ACTED,1,9,0,3,13,D1-B9-B3,D1-B9-B13,32.30086118000,36.31693774000,696,4,no,,247145,3576140
36.3170322099892,32.3013721199858,473,ACTED,1,9,0,2,6,D1-B9-B2,D1-B9-B6,32.30137212000,36.31703221000,699,4,no,,247134,3576196
